,Layer,Premature_ovarian_failure nodes,Joint_hemorrhage nodes,sAB
0,coex_KDN,29,38,0.31870818322182193
1,coex_BST,20,17,1.4013888888888888
2,coex_OVR,23,26,1.0440242986826838
3,coex_LNG,24,33,0.4367025518341312
4,coex_ITI,29,25,0.3015581098339719
5,coex_VGN,28,30,0.4916666666666667
6,coex_HRV,8,21,0.49825533661740584
7,coex_MSG,26,37,0.2984110484110485
8,coex_ADV,21,23,1.43162996423866
9,coex_EMS,22,21,0.6428571428571428
10,coex_SMU,20,27,0.7583333333333333
11,coex_ARG,21,21,0.4589743589743591
12,coex_TST,35,30,0.5003663003663004
13,coex_PIT,26,27,0.25
14,coex_LVR,20,40,0.5250000000000004
15,coex_THY,20,26,0.527006688963211
16,coex_PNC,20,29,0.2038191430600489
17,coex_ATC,21,31,0.1600496277915635
18,coex_BRO,19,27,0.3115807194754563
19,coex_SKN,24,30,0.4791666666666665
20,coex_ADS,14,31,0.4576804915514594
21,coex_GEJ,25,20,1.5073684210526317
22,coex_BRB,11,20,0.5664956011730204
23,coex_UTR,24,9,1.2083333333333335
24,coex_STM,25,30,0.5081818181818183
25,coex_HRA,23,18,0.3329209379050311
26,coex_PRS,21,21,0.4047619047619051
27,coex_ATA,17,31,0.3563804554079697
28,coex_FIB,20,13,0.21258741258741254
29,coex_BRC,22,17,0.4290415466886057
30,coex_ATT,21,30,1.1133333333333328
31,coex_TNV,13,26,0.4744129554655867
32,coex_SPL,22,35,0.5944178628389154
33,coex_LCL,18,8,0.3306623931623931
34,coex_CLS,23,20,0.19799498746867172
35,coex_EMC,27,32,0.40673732943469787
36,coex_CLT,25,27,0.4868325791855206
37,coex_core,24,31,0.4424964936886395
38,coex_WBL,17,31,0.5002371916508537
39,co-essential,11,0,
40,GOBP,21,29,2.0977272727272727
41,ppi,48,49,0.3908342976365802
42,reactome_copathway,9,21,1.146455938697318
43,MP,21,22,2.24967824967825
44,HP,29,24,0.5728150075905445
45,GI_net,22,8,0.16832010582010604
46,gene_gene_on_CbG_name_mapped,9,16,0.3015277777777776
47,gene_gene_on_GcG_name_mapped,35,33,-0.05974025974025965
48,GOMF,2,7,
