,Layer,Primary_dilated_cardiomyopathy nodes,Carcinoma_of_pancreas nodes,sAB
0,coex_KDN,31,46,-0.02351630194624299
1,coex_BST,21,37,0.2639745008166059
2,coex_OVR,24,41,-0.01431363352095083
3,coex_LNG,25,43,0.07551299589603255
4,coex_ITI,27,46,0.18462819579555734
5,coex_VGN,28,42,0.13965884861407263
6,coex_HRV,40,19,0.36689339875111493
7,coex_MSG,44,45,0.3588724321870389
8,coex_ADV,20,38,-0.02141560798548081
9,coex_EMS,34,39,0.29962292609351415
10,coex_SMU,36,38,0.5396317370001582
11,coex_ARG,21,36,0.08968253968253981
12,coex_TST,30,45,-0.07000000000000006
13,coex_PIT,26,40,-0.11046037296037303
14,coex_LVR,18,41,-0.12682008176013948
15,coex_THY,31,35,0.9398288347597101
16,coex_PNC,16,40,0.168181818181818
17,coex_ATC,38,43,0.9236904079450912
18,coex_BRO,27,39,0.07873607873607869
19,coex_SKN,24,44,-0.10160427807486627
20,coex_ADS,21,24,0.4750000000000001
21,coex_GEJ,24,38,0.30701754385964897
22,coex_BRB,21,14,-0.20000000000000018
23,coex_UTR,22,35,-0.019491911597175005
24,coex_STM,29,45,0.15389872631251933
25,coex_HRA,43,36,0.4499067804925916
26,coex_PRS,43,41,0.4063217459417119
27,coex_ATA,19,33,0.10931419457735236
28,coex_FIB,17,39,-0.004531381930762635
29,coex_BRC,30,38,-0.15726817042606522
30,coex_ATT,29,36,0.22216748768472927
31,coex_TNV,26,21,0.337301587301587
32,coex_SPL,23,42,0.058775282688326325
33,coex_LCL,24,36,-0.051995798319327546
34,coex_CLS,28,42,0.2652717652717653
35,coex_EMC,19,42,0.11654135338345872
36,coex_CLT,24,44,0.28409090909090895
37,coex_core,41,45,0.8441927990708482
38,coex_WBL,34,40,1.0897990886495443
39,co-essential,11,22,0.6770081770081773
40,GOBP,23,12,2.4176136363636367
41,ppi,49,50,0.18210265924551639
42,reactome_copathway,17,31,0.3104575163398693
43,MP,25,15,1.232280701754386
44,HP,38,22,0.6251196172248805
45,GI_net,17,37,-0.16393542864131105
46,gene_gene_on_CbG_name_mapped,11,8,0.21949760765550264
47,gene_gene_on_GcG_name_mapped,27,43,-0.03190599237110847
48,GOMF,2,3,
