,Layer,Prostate_neoplasm nodes,Breast_neoplasm nodes,sAB
0,coex_KDN,42,43,-0.2527685492801772
1,coex_BST,31,37,-0.024244833068362448
2,coex_OVR,32,33,0.11313233137829926
3,coex_LNG,42,41,0.0632791327913278
4,coex_ITI,41,43,-0.13418010425951432
5,coex_VGN,36,39,-0.18790598290598282
6,coex_HRV,26,17,0.5817682926829266
7,coex_MSG,41,43,0.09527185803419513
8,coex_ADV,27,25,0.3185754985754987
9,coex_EMS,32,35,-0.2579890724946694
10,coex_SMU,34,34,0.14015151515151514
11,coex_ARG,32,30,0.19687500000000013
12,coex_TST,45,42,-0.11455938697318024
13,coex_PIT,35,32,0.0940934065934067
14,coex_LVR,37,35,0.3926748176748176
15,coex_THY,38,33,0.0914313632994137
16,coex_PNC,30,31,0.2179446500969502
17,coex_ATC,33,38,-0.05545731918729624
18,coex_BRO,37,32,0.13119981394437907
19,coex_SKN,32,38,0.07153536223804569
20,coex_ADS,39,30,0.4224788058459459
21,coex_GEJ,32,35,-0.07827619459315693
22,coex_BRB,29,23,0.35842792889269637
23,coex_UTR,21,35,-0.2952380952380951
24,coex_STM,42,44,-0.05584918957011986
25,coex_HRA,34,32,0.30464572192513373
26,coex_PRS,36,34,-0.14512848617707963
27,coex_ATA,33,32,0.1265884652981426
28,coex_FIB,29,36,-0.1794496487119439
29,coex_BRC,35,33,0.38376623376623376
30,coex_ATT,29,34,0.14387531328320824
31,coex_TNV,23,21,0.16261451726567966
32,coex_SPL,29,39,-0.26690331304935766
33,coex_LCL,29,31,0.09298397396283953
34,coex_CLS,36,38,0.19323308270676698
35,coex_EMC,36,38,-0.03801169590643272
36,coex_CLT,40,45,-0.16623931623931631
37,coex_core,45,44,0.17810457516339873
38,coex_WBL,37,32,-0.09205600287194216
39,co-essential,20,21,0.34375
40,GOBP,8,8,0.5714285714285712
41,ppi,50,50,-0.14000000000000012
42,reactome_copathway,30,33,-0.035972502074197
43,MP,8,12,-0.23953349282296665
44,HP,19,25,-0.1849282296650716
45,GI_net,31,35,-0.106575682382134
46,gene_gene_on_CbG_name_mapped,16,17,0.0622214795008913
47,gene_gene_on_GcG_name_mapped,35,40,-0.18571428571428594
48,GOMF,6,2,
