,Layer,Prostate_neoplasm nodes,Small_cell_lung_carcinoma nodes,sAB
0,coex_KDN,42,38,0.15931721194879067
1,coex_BST,31,28,0.04469987228607919
2,coex_OVR,32,33,0.0004429374389052221
3,coex_LNG,42,36,0.07453454404673909
4,coex_ITI,41,34,-0.03424198947871826
5,coex_VGN,36,34,-0.1010971055088703
6,coex_HRV,26,21,0.4622222222222221
7,coex_MSG,41,39,0.2493980612883051
8,coex_ADV,27,27,0.4444444444444444
9,coex_EMS,32,37,0.1550461375554657
10,coex_SMU,34,27,0.1429292929292929
11,coex_ARG,32,26,0.09329409814323619
12,coex_TST,45,42,0.04184455391351927
13,coex_PIT,35,38,0.09623530657629997
14,coex_LVR,37,28,0.2422779922779923
15,coex_THY,38,30,0.17894736842105274
16,coex_PNC,30,27,0.09532163742690059
17,coex_ATC,33,37,0.16972875181830416
18,coex_BRO,37,41,0.3868296063418013
19,coex_SKN,32,36,0.27977050232707423
20,coex_ADS,39,28,1.143874643874644
21,coex_GEJ,32,36,0.13177339901477847
22,coex_BRB,29,23,0.39595242485709026
23,coex_UTR,21,29,-0.11539035676966725
24,coex_STM,42,33,0.18202573682025736
25,coex_HRA,34,32,0.23078208556149749
26,coex_PRS,36,31,0.15858120374249407
27,coex_ATA,33,26,0.18374085684430552
28,coex_FIB,29,28,-0.061507936507936734
29,coex_BRC,35,37,0.05557232282584379
30,coex_ATT,29,32,0.5679723502304146
31,coex_TNV,23,19,0.3313852813852809
32,coex_SPL,29,29,-0.08251231527093594
33,coex_LCL,29,21,0.21851851851851833
34,coex_CLS,36,35,0.00588235294117645
35,coex_EMC,36,33,0.16480186480186476
36,coex_CLT,40,35,0.010889110889110931
37,coex_core,45,40,0.3731258366800534
38,coex_WBL,37,29,-0.017923967923968
39,co-essential,20,10,-0.055952380952380754
40,GOBP,8,15,1.3327067669172932
41,ppi,50,50,0.020000000000000018
42,reactome_copathway,30,20,0.0905982905982905
43,MP,8,15,1.0121753246753245
44,HP,19,19,-0.07894736842105288
45,GI_net,31,25,0.0027649769585254003
46,gene_gene_on_CbG_name_mapped,16,15,0.16108870967741917
47,gene_gene_on_GcG_name_mapped,35,35,-0.014285714285714235
48,GOMF,6,1,
