,Layer,Prostatitis nodes,Primary_biliary_cholangitis nodes,sAB
0,coex_KDN,35,41,-0.0071381486015631435
1,coex_BST,19,17,0.2300653594771238
2,coex_OVR,15,20,-0.0025210084033613356
3,coex_LNG,30,30,0.7210828796128248
4,coex_ITI,28,36,0.07217261904761907
5,coex_VGN,18,29,0.30000863147900403
6,coex_HRV,21,20,0.16040100250626566
7,coex_MSG,30,28,0.16785714285714293
8,coex_ADV,24,24,0.29166666666666696
9,coex_EMS,16,22,0.0071770334928231705
10,coex_SMU,16,22,0.061004784688995395
11,coex_ARG,21,18,0.2164224664224661
12,coex_TST,23,28,0.20708500791620987
13,coex_PIT,25,26,0.2950075414781299
14,coex_LVR,30,32,0.125
15,coex_THY,26,30,0.7154931275620928
16,coex_PNC,22,22,0.157253599114064
17,coex_ATC,17,24,0.2935198469631757
18,coex_BRO,28,24,0.35250000000000004
19,coex_SKN,18,28,0.33928571428571397
20,coex_ADS,18,22,0.24974747474747483
21,coex_GEJ,18,23,0.04280522277560905
22,coex_BRB,17,17,0.31605787476280867
23,coex_UTR,14,20,0.5254201680672272
24,coex_STM,25,30,0.7872955974842768
25,coex_HRA,23,27,0.4295652173913045
26,coex_PRS,24,26,0.3260489510489508
27,coex_ATA,19,24,0.34373725010199907
28,coex_FIB,23,21,0.4757669866365519
29,coex_BRC,23,22,0.11832429451236282
30,coex_ATT,14,28,0.25579150579150545
31,coex_TNV,12,19,0.20203735144312418
32,coex_SPL,26,35,0.3217258151684381
33,coex_LCL,17,20,0.4221755368814193
34,coex_CLS,21,29,0.34660301428233264
35,coex_EMC,18,30,0.06862745098039236
36,coex_CLT,24,32,0.41608796296296324
37,coex_core,32,37,0.39592933947772657
38,coex_WBL,26,33,0.29831891272569244
39,co-essential,7,2,-1.166666666666667
40,GOBP,18,18,1.5662500000000001
41,ppi,50,50,0.20000000000000018
42,reactome_copathway,16,19,0.45065789473684204
43,MP,16,22,0.07809172809172837
44,HP,19,27,0.12518010000847535
45,GI_net,18,25,0.31676470588235306
46,gene_gene_on_CbG_name_mapped,14,12,0.00045787545787545625
47,gene_gene_on_GcG_name_mapped,31,33,-0.06433284457478017
48,GOMF,5,8,
