,Layer,Renal_tubular_acidosis nodes,Cervical_cancer nodes,sAB
0,coex_KDN,41,41,0.4710252935862691
1,coex_BST,29,34,0.11647491104977892
2,coex_OVR,31,38,0.1676443757443682
3,coex_LNG,33,39,0.15346345197091482
4,coex_ITI,30,35,0.0807692307692307
5,coex_VGN,28,37,0.06068458568458568
6,coex_HRV,18,24,1.534722222222222
7,coex_MSG,34,41,0.0788043998087038
8,coex_ADV,29,26,0.3610079575596816
9,coex_EMS,28,35,0.2029015190305512
10,coex_SMU,28,32,0.47008928571428577
11,coex_ARG,33,31,-0.04732302867383531
12,coex_TST,33,38,0.04528607048992539
13,coex_PIT,33,39,0.28364968364968357
14,coex_LVR,29,36,0.18842364532019706
15,coex_THY,26,35,0.10797316273989699
16,coex_PNC,26,32,0.2877569628647212
17,coex_ATC,27,37,0.2665343915343916
18,coex_BRO,28,32,0.3447916666666666
19,coex_SKN,30,41,0.2659280888583533
20,coex_ADS,19,28,0.9888262322472849
21,coex_GEJ,31,34,0.43549164774317983
22,coex_BRB,15,20,-0.20476190476190492
23,coex_UTR,24,27,0.1538671023965139
24,coex_STM,29,39,0.18500026005097014
25,coex_HRA,31,37,0.37062869320933833
26,coex_PRS,28,38,0.09703235361130114
27,coex_ATA,29,34,0.43242296918767487
28,coex_FIB,26,39,0.04045817570407739
29,coex_BRC,30,36,0.09949494949494975
30,coex_ATT,29,36,0.16687297376952515
31,coex_TNV,11,22,0.46515151515151487
32,coex_SPL,32,36,0.48408848614072486
33,coex_LCL,25,33,0.17727272727272725
34,coex_CLS,28,36,0.2398313492063493
35,coex_EMC,29,31,-0.1721276263375775
36,coex_CLT,30,33,0.13606557377049167
37,coex_core,38,38,0.22883295194508024
38,coex_WBL,36,35,0.15361811391223146
39,co-essential,18,16,0.8008960573476704
40,GOBP,37,11,1.0707070707070705
41,ppi,49,50,0.16136260564831995
42,reactome_copathway,15,27,0.5179757085020242
43,MP,21,7,2.095238095238096
44,HP,36,20,0.5353174603174604
45,GI_net,18,28,0.09497929606625233
46,gene_gene_on_CbG_name_mapped,17,15,0.4216911764705882
47,gene_gene_on_GcG_name_mapped,31,31,0.09677419354838701
48,GOMF,13,6,
