,Layer,Renal_tubular_acidosis nodes,Decreased_circulating_vitamin_B1_concentration nodes,sAB
0,coex_KDN,41,41,0.347116832279434
1,coex_BST,29,35,0.36327665660257424
2,coex_OVR,31,33,0.22091886608015643
3,coex_LNG,33,37,0.5328482328482329
4,coex_ITI,30,41,0.31420474063895565
5,coex_VGN,28,33,0.2772321428571427
6,coex_HRV,18,23,0.9702459376372421
7,coex_MSG,34,43,0.23124344875370872
8,coex_ADV,29,32,0.5039134391748408
9,coex_EMS,28,34,0.43266723811564667
10,coex_SMU,28,31,0.43026048582363474
11,coex_ARG,33,34,0.0947195165945165
12,coex_TST,33,36,0.044301712779973634
13,coex_PIT,33,35,0.1878513643219526
14,coex_LVR,29,38,0.3555144492531064
15,coex_THY,26,29,0.5082417582417582
16,coex_PNC,26,37,0.5179025179025176
17,coex_ATC,27,36,0.24669312169312163
18,coex_BRO,28,38,0.18919457735247214
19,coex_SKN,30,37,0.42095959595959576
20,coex_ADS,19,35,0.928018575851393
21,coex_GEJ,31,27,0.26476361153780514
22,coex_BRB,15,28,0.1206349206349202
23,coex_UTR,24,23,0.062417654808959444
24,coex_STM,29,38,0.34787765822248584
25,coex_HRA,31,34,0.39294530874629285
26,coex_PRS,28,30,0.26161740558292257
27,coex_ATA,29,34,0.5727738463806573
28,coex_FIB,26,29,0.051326259946949504
29,coex_BRC,30,29,0.32153711279953234
30,coex_ATT,29,37,0.3431855500821017
31,coex_TNV,11,24,1.7435606060606057
32,coex_SPL,32,39,0.7165718671000363
33,coex_LCL,25,21,0.22196969696969715
34,coex_CLS,28,35,0.42546838407494136
35,coex_EMC,29,37,0.4028210237887657
36,coex_CLT,30,39,0.48784838350055715
37,coex_core,38,40,0.6055874722016306
38,coex_WBL,36,35,0.48849206349206353
39,co-essential,18,11,1.175925925925926
40,GOBP,37,21,1.7489517819706495
41,ppi,49,49,0.23469387755102034
42,reactome_copathway,15,16,0.904423076923077
43,MP,21,12,1.222290640394088
44,HP,36,20,0.5694444444444442
45,GI_net,18,16,0.2634803921568625
46,gene_gene_on_CbG_name_mapped,17,10,0.20849673202614372
47,gene_gene_on_GcG_name_mapped,31,37,-0.1316862403200163
48,GOMF,13,6,
