,Layer,Renal_tubular_acidosis nodes,West_syndrome nodes,sAB
0,coex_KDN,41,46,0.04724469160768474
1,coex_BST,29,37,-0.09421182266009853
2,coex_OVR,31,38,-0.15384030610952037
3,coex_LNG,33,38,0.14952153110047828
4,coex_ITI,30,40,-0.012499999999999734
5,coex_VGN,28,40,-0.015231092436974958
6,coex_HRV,18,23,0.7097445038621508
7,coex_MSG,34,42,-0.07279227480465877
8,coex_ADV,29,35,-0.09766218585622455
9,coex_EMS,28,40,0.16459466459466476
10,coex_SMU,28,39,0.0011276037395440142
11,coex_ARG,33,40,0.030902777777777724
12,coex_TST,33,44,-0.09253246753246769
13,coex_PIT,33,43,0.25860427023217736
14,coex_LVR,29,38,0.006121736702498826
15,coex_THY,26,37,0.1345387001124707
16,coex_PNC,26,37,0.12279312279312249
17,coex_ATC,27,39,-0.19437969437969427
18,coex_BRO,28,42,0.17316189466242493
19,coex_SKN,30,41,0.12594182984083369
20,coex_ADS,19,21,0.41184210526315823
21,coex_GEJ,31,36,0.11707333884753246
22,coex_BRB,15,20,0.2738095238095237
23,coex_UTR,24,34,-0.19514874915483427
24,coex_STM,29,39,-0.1125110521662247
25,coex_HRA,31,38,0.038290374028914
26,coex_PRS,28,36,0.05183531746031744
27,coex_ATA,29,38,0.01918217675335887
28,coex_FIB,26,35,-0.2670780039632499
29,coex_BRC,30,42,0.12222222222222223
30,coex_ATT,29,38,0.055049164341630874
31,coex_TNV,11,16,0.845643939393939
32,coex_SPL,32,43,-0.027848837209302424
33,coex_LCL,25,27,-0.09749455337690627
34,coex_CLS,28,38,0.043318523581681534
35,coex_EMC,29,35,0.06587301587301564
36,coex_CLT,30,38,-0.06790505675954606
37,coex_core,38,39,0.12689415847310603
38,coex_WBL,36,36,0.07427536231884035
39,co-essential,18,11,-0.05477185649599425
40,GOBP,37,22,1.2542405183914616
41,ppi,49,49,0.14285714285714302
42,reactome_copathway,15,18,0.895673076923077
43,MP,21,5,2.654761904761904
44,HP,36,34,0.38699813258636784
45,GI_net,18,20,0.02543859649122826
46,gene_gene_on_CbG_name_mapped,17,12,0.18196416497633527
47,gene_gene_on_GcG_name_mapped,31,33,-0.03563355327468232
48,GOMF,13,4,
