,Layer,Renovascular_hypertension nodes,Ischemic_stroke nodes,sAB
0,coex_KDN,43,46,0.06126378932300236
1,coex_BST,24,28,0.25045787545787546
2,coex_OVR,26,35,0.18610160331471803
3,coex_LNG,31,44,0.4140664711632458
4,coex_ITI,39,45,0.05866910866910868
5,coex_VGN,33,37,0.0324207324207324
6,coex_HRV,21,33,0.23659673659673652
7,coex_MSG,39,45,0.2203296703296702
8,coex_ADV,21,33,0.10547785547785571
9,coex_EMS,23,33,0.07940429136081306
10,coex_SMU,27,36,0.09325396825396814
11,coex_ARG,21,33,-0.045714285714285374
12,coex_TST,32,43,-0.019941860465116257
13,coex_PIT,33,40,0.1072609901835253
14,coex_LVR,27,44,0.03270019030888616
15,coex_THY,24,36,0.12638888888888866
16,coex_PNC,25,41,0.04555972482801751
17,coex_ATC,28,36,0.34300595238095255
18,coex_BRO,24,42,0.13230519480519476
19,coex_SKN,30,42,-0.09523809523809534
20,coex_ADS,26,38,0.4815854773409951
21,coex_GEJ,18,32,0.2682885654261704
22,coex_BRB,25,32,-0.11818399044205519
23,coex_UTR,20,34,0.27386877828054246
24,coex_STM,30,44,-0.02268632268632298
25,coex_HRA,25,31,0.5360606060606063
26,coex_PRS,30,37,0.1627165627165632
27,coex_ATA,20,39,0.39426450742240204
28,coex_FIB,20,36,0.20670908039329117
29,coex_BRC,26,33,0.03909367468689484
30,coex_ATT,26,43,0.23389355742296924
31,coex_TNV,21,35,0.403762903762904
32,coex_SPL,29,42,0.3157797358865837
33,coex_LCL,14,13,0.22059643255295436
34,coex_CLS,26,37,0.1939164439164438
35,coex_EMC,31,42,0.07321512055032375
36,coex_CLT,37,43,0.0679996857322438
37,coex_core,38,46,0.20972974538713296
38,coex_WBL,21,31,0.18208673047382717
39,co-essential,7,4,-0.10119047619047628
40,GOBP,10,16,0.1499999999999999
41,ppi,50,50,0.25
42,reactome_copathway,16,27,0.2416666666666667
43,MP,12,13,-0.9090909090909092
44,HP,24,28,0.17559523809523814
45,GI_net,14,20,0.2544642857142856
46,gene_gene_on_CbG_name_mapped,16,11,0.0012626262626260765
47,gene_gene_on_GcG_name_mapped,38,31,-0.15470214807706495
48,GOMF,5,3,
