,Layer,Respiratory_insufficiency nodes,myoclonic_epilepsy nodes,sAB
0,coex_KDN,42,42,0.1312427409988386
1,coex_BST,34,34,0.3428835870012341
2,coex_OVR,34,35,-0.022419415527404896
3,coex_LNG,37,41,0.34411710021466124
4,coex_ITI,39,39,0.08974358974358965
5,coex_VGN,39,38,0.1683930104982736
6,coex_HRV,19,14,-0.2538163590795173
7,coex_MSG,43,37,0.12290226272784421
8,coex_ADV,33,35,0.25776674306086056
9,coex_EMS,33,36,0.06313131313131315
10,coex_SMU,41,36,0.12330623306233068
11,coex_ARG,36,38,0.24278884147305213
12,coex_TST,40,45,0.04861111111111116
13,coex_PIT,38,41,0.1641791651094393
14,coex_LVR,39,34,0.03676470588235281
15,coex_THY,37,34,0.1490461049284577
16,coex_PNC,35,36,0.05217086834733875
17,coex_ATC,35,38,0.17462148521989906
18,coex_BRO,35,46,0.16398046398046429
19,coex_SKN,37,36,0.18395508184240583
20,coex_ADS,29,31,0.9276239847209689
21,coex_GEJ,30,36,0.08055555555555527
22,coex_BRB,18,25,0.10400516795865622
23,coex_UTR,32,33,-0.08705357142857162
24,coex_STM,36,38,0.23101390864548765
25,coex_HRA,37,35,0.2422982338475297
26,coex_PRS,38,33,0.07880697261720249
27,coex_ATA,31,36,0.19157572353287344
28,coex_FIB,30,32,0.12983870967741917
29,coex_BRC,37,40,0.1377627627627629
30,coex_ATT,40,36,0.29861111111111116
31,coex_TNV,18,22,1.5089126559714794
32,coex_SPL,34,36,0.24112978524743234
33,coex_LCL,28,25,0.19569858712715837
34,coex_CLS,38,38,0.07719772403982939
35,coex_EMC,36,36,0.1419181757209924
36,coex_CLT,40,36,0.12441520467836242
37,coex_core,41,39,0.21380550343964977
38,coex_WBL,36,30,0.5494949494949493
39,co-essential,13,7,0.3527472527472528
40,GOBP,20,19,0.6580459770114944
41,ppi,50,49,-0.0410018552875695
42,reactome_copathway,7,12,0.655080213903743
43,MP,13,11,1.2166666666666668
44,HP,31,27,0.21558933794751378
45,GI_net,17,16,-0.2823083778966131
46,gene_gene_on_CbG_name_mapped,12,8,0.2958333333333334
47,gene_gene_on_GcG_name_mapped,41,41,0.029268292682926855
48,GOMF,6,8,
