,Layer,Seizure nodes,Temporal_lobe_epilepsy nodes,sAB
0,coex_KDN,38,39,0.20748111537585223
1,coex_BST,27,24,0.18491285403050117
2,coex_OVR,29,28,0.3160882221227048
3,coex_LNG,38,26,0.467741935483871
4,coex_ITI,34,35,0.05045152389313956
5,coex_VGN,33,27,0.008754208754208737
6,coex_HRV,18,23,0.0302429667519184
7,coex_MSG,36,34,0.02766106442577021
8,coex_ADV,30,19,0.1992660221983531
9,coex_EMS,32,24,0.19717261904761862
10,coex_SMU,33,22,0.19393939393939386
11,coex_ARG,33,27,0.461655011655012
12,coex_TST,42,33,0.14069264069264076
13,coex_PIT,42,32,-0.04808156370656369
14,coex_LVR,30,28,0.20250410509031203
15,coex_THY,28,26,0.6923076923076925
16,coex_PNC,36,30,0.29798534798534826
17,coex_ATC,34,32,0.1930147058823528
18,coex_BRO,41,39,0.23696841776110045
19,coex_SKN,38,28,0.36121553884711766
20,coex_ADS,25,29,0.15787994891443136
21,coex_GEJ,33,26,0.15397908543069816
22,coex_BRB,32,29,0.1117686546071226
23,coex_UTR,26,19,-0.17579642579642574
24,coex_STM,34,34,-0.11764705882352944
25,coex_HRA,34,24,0.08155848546315037
26,coex_PRS,29,23,0.318830584707646
27,coex_ATA,31,31,0.22580645161290303
28,coex_FIB,28,17,0.34414098972922513
29,coex_BRC,43,31,-0.0848320188155145
30,coex_ATT,34,30,0.059163059163059195
31,coex_TNV,23,27,0.39655394524959764
32,coex_SPL,38,26,-0.25956640982107926
33,coex_LCL,23,15,0.42766980565017
34,coex_CLS,33,29,0.30513702093234896
35,coex_EMC,29,27,0.17364532019704426
36,coex_CLT,34,31,0.06077215005108738
37,coex_core,34,37,0.18576760904126655
38,coex_WBL,29,24,0.09077079107505082
39,co-essential,9,6,-0.13333333333333286
40,GOBP,15,18,0.44564922743290847
41,ppi,48,50,0.2884013605442177
42,reactome_copathway,20,18,0.7011145510835914
43,MP,10,12,0.15000000000000036
44,HP,35,12,0.03412698412698423
45,GI_net,22,16,0.11934523809523823
46,gene_gene_on_CbG_name_mapped,15,26,0.31744840525328355
47,gene_gene_on_GcG_name_mapped,39,29,-0.060877932074686614
48,GOMF,3,5,
