,Layer,Severe_myoclonic_epilepsy_in_infancy nodes,Benign_Neonatal_Epilepsy nodes,sAB
0,coex_KDN,34,29,0.08437972890305545
1,coex_BST,25,27,0.14173789173789175
2,coex_OVR,18,18,0.08333333333333348
3,coex_LNG,27,22,0.03677935820792966
4,coex_ITI,33,37,-0.011512811512811583
5,coex_VGN,34,37,-0.10369690319980296
6,coex_HRV,16,21,-0.22043918918918926
7,coex_MSG,25,26,0.1612820512820512
8,coex_ADV,23,22,-0.02960035133948158
9,coex_EMS,28,27,-0.14814814814814814
10,coex_SMU,24,16,0.03541666666666643
11,coex_ARG,30,29,0.08727422003284069
12,coex_TST,32,35,0.030170575692963775
13,coex_PIT,35,31,0.008476469766792283
14,coex_LVR,22,15,0.12424242424242427
15,coex_THY,23,22,-0.11157253599114059
16,coex_PNC,30,31,-0.2266174594496082
17,coex_ATC,29,24,0.1050748210800263
18,coex_BRO,45,43,0.04603776335933518
19,coex_SKN,25,28,0.05959568733153642
20,coex_ADS,21,29,0.4289819376026274
21,coex_GEJ,29,29,0.04171518137035379
22,coex_BRB,35,38,0.0017767020290453406
23,coex_UTR,17,17,0.03308823529411775
24,coex_STM,29,32,-0.2585650723025583
25,coex_HRA,23,22,0.2889986824769437
26,coex_PRS,23,19,-0.2051868802440886
27,coex_ATA,25,21,0.23194444444444473
28,coex_FIB,16,8,-0.0625
29,coex_BRC,37,42,-0.09535787392013328
30,coex_ATT,26,22,0.483711324136856
31,coex_TNV,21,30,-0.06999999999999984
32,coex_SPL,24,12,-0.02777777777777768
33,coex_LCL,11,4,0.022727272727272485
34,coex_CLS,31,36,-0.12776172898946125
35,coex_EMC,22,20,0.32153679653679657
36,coex_CLT,30,33,-0.036424731182795655
37,coex_core,32,38,0.13195488721804516
38,coex_WBL,18,13,0.33188585607940446
39,co-essential,6,6,-0.16060606060606064
40,GOBP,29,26,0.01433982683982693
41,ppi,50,50,-0.10000000000000009
42,reactome_copathway,13,13,1.0174242424242426
43,MP,12,14,0.5507246376811596
44,HP,20,15,-0.09880952380952412
45,GI_net,17,14,-0.3325426944971537
46,gene_gene_on_CbG_name_mapped,17,13,-0.09200603318250389
47,gene_gene_on_GcG_name_mapped,38,35,-0.09068390153465855
48,GOMF,6,6,-1.0
