,Layer,Severe_myoclonic_epilepsy_in_infancy nodes,Temporal_lobe_epilepsy nodes,sAB
0,coex_KDN,34,39,-0.024881712432075043
1,coex_BST,25,24,0.08078231292516991
2,coex_OVR,18,28,0.22092822636300902
3,coex_LNG,27,26,0.20894479385045406
4,coex_ITI,33,35,0.12770562770562766
5,coex_VGN,34,27,0.11150398228508163
6,coex_HRV,16,23,0.19171544035674448
7,coex_MSG,25,34,0.23138584247258231
8,coex_ADV,23,19,-0.029911735861392952
9,coex_EMS,28,24,0.2788671023965139
10,coex_SMU,24,22,0.12071805006587599
11,coex_ARG,30,27,0.572934472934473
12,coex_TST,32,33,0.16981351981351978
13,coex_PIT,35,32,-0.05623001066098099
14,coex_LVR,22,28,0.04019480519480534
15,coex_THY,23,26,0.7083333333333335
16,coex_PNC,30,30,0.2931034482758621
17,coex_ATC,29,32,0.13970265926358882
18,coex_BRO,45,39,0.06245962872468902
19,coex_SKN,25,28,0.2288775510204082
20,coex_ADS,21,29,0.26159688013136284
21,coex_GEJ,29,26,0.4066286992250481
22,coex_BRB,35,29,0.018165024630541815
23,coex_UTR,17,19,0.1594771241830064
24,coex_STM,29,34,-0.12795003058694743
25,coex_HRA,23,24,0.386177921677459
26,coex_PRS,23,23,0.21739130434782616
27,coex_ATA,25,31,0.07264173998044976
28,coex_FIB,16,17,0.3353386809269161
29,coex_BRC,37,31,-0.12502972180391536
30,coex_ATT,26,30,0.45192307692307687
31,coex_TNV,21,27,0.26055949566587877
32,coex_SPL,24,26,0.0005128205128204222
33,coex_LCL,11,15,0.3203463203463204
34,coex_CLS,31,29,0.30044493882091206
35,coex_EMC,22,27,0.04313543599257863
36,coex_CLT,30,31,0.01701921381984861
37,coex_core,32,37,0.21450181524808376
38,coex_WBL,18,24,0.14166666666666705
39,co-essential,6,6,-1.0833333333333335
40,GOBP,29,18,0.9627235509588452
41,ppi,50,50,0.1499999999999999
42,reactome_copathway,13,18,0.6289215686274514
43,MP,12,12,0.8166666666666664
44,HP,20,12,0.13749999999999996
45,GI_net,17,16,-0.010970113851992203
46,gene_gene_on_CbG_name_mapped,17,26,0.17841734189203406
47,gene_gene_on_GcG_name_mapped,38,29,-0.06885039412736704
48,GOMF,6,5,
