,Layer,Status_epilepticus nodes,West_syndrome nodes,sAB
0,coex_KDN,39,46,0.10534488394900299
1,coex_BST,29,37,0.44273399014778314
2,coex_OVR,23,38,0.20015948963317376
3,coex_LNG,32,38,0.445300751879699
4,coex_ITI,32,40,0.20625000000000004
5,coex_VGN,27,40,0.44624125874125853
6,coex_HRV,26,23,0.1430652680652682
7,coex_MSG,36,42,0.2541208791208791
8,coex_ADV,22,35,0.08540669856459315
9,coex_EMS,23,40,0.3177437335922608
10,coex_SMU,25,39,0.297596153846154
11,coex_ARG,25,40,-0.09062499999999996
12,coex_TST,33,44,0.20616883116883122
13,coex_PIT,38,43,0.3261933904528762
14,coex_LVR,35,38,0.07525491811721086
15,coex_THY,32,37,0.6424855562083827
16,coex_PNC,25,37,0.22448125544899744
17,coex_ATC,27,39,0.5177415177415181
18,coex_BRO,37,42,0.27919476699964507
19,coex_SKN,26,41,0.2476687855282682
20,coex_ADS,28,21,0.1595238095238094
21,coex_GEJ,24,36,0.4436172065482409
22,coex_BRB,31,20,0.1713788741302973
23,coex_UTR,21,34,-0.2792483660130718
24,coex_STM,34,39,0.3333126717494166
25,coex_HRA,30,38,0.5821981424148608
26,coex_PRS,20,36,0.3384104199893674
27,coex_ATA,28,38,0.8267543859649122
28,coex_FIB,20,35,0.04902597402597397
29,coex_BRC,37,42,0.5506899304367656
30,coex_ATT,26,38,0.7516260702196855
31,coex_TNV,28,16,0.7244318181818183
32,coex_SPL,24,43,-0.02874435959736177
33,coex_LCL,17,27,0.18236284412755
34,coex_CLS,28,38,0.20227234753550527
35,coex_EMC,25,35,0.10745560936238885
36,coex_CLT,28,38,0.1439678742310322
37,coex_core,38,39,0.4700269905533061
38,coex_WBL,34,36,0.1683006535947711
39,co-essential,9,11,0.027212918660286967
40,GOBP,14,22,0.5589225589225593
41,ppi,50,49,0.09023294166151308
42,reactome_copathway,19,18,0.37482985480943753
43,MP,12,5,2.221428571428571
44,HP,18,34,-0.16553544494720973
45,GI_net,20,20,0.11973684210526336
46,gene_gene_on_CbG_name_mapped,21,12,0.22564935064935088
47,gene_gene_on_GcG_name_mapped,32,33,-0.07616550116550114
48,GOMF,4,4,
