,Layer,Urinary_bladder_inflammation nodes,Pneumonia nodes,sAB
0,coex_KDN,34,36,-0.2363997113997114
1,coex_BST,21,23,-0.03933747412008293
2,coex_OVR,25,28,-0.10929419986023747
3,coex_LNG,32,35,0.24234128894697027
4,coex_ITI,32,31,-0.07954909114183328
5,coex_VGN,27,22,-0.3530371744657459
6,coex_HRV,29,31,-0.11514778325123132
7,coex_MSG,33,38,-0.2502190174540062
8,coex_ADV,23,35,-0.2904690511886914
9,coex_EMS,17,26,-0.06817680167751927
10,coex_SMU,20,23,0.17694641051567261
11,coex_ARG,22,22,-0.16510621161783945
12,coex_TST,30,25,-0.3472727272727274
13,coex_PIT,34,33,-0.31089871498124366
14,coex_LVR,26,32,-0.19660027472527486
15,coex_THY,21,23,-0.0038114059853189275
16,coex_PNC,25,26,-0.09984917043740582
17,coex_ATC,26,26,-0.13461538461538458
18,coex_BRO,34,35,-0.2906406040677141
19,coex_SKN,24,23,0.0447695035460991
20,coex_ADS,26,24,-0.259551282051282
21,coex_GEJ,22,30,-0.6193318176076794
22,coex_BRB,29,28,-0.441297208538588
23,coex_UTR,14,17,0.40625
24,coex_STM,25,31,0.11820276497695859
25,coex_HRA,24,25,0.16040816326530605
26,coex_PRS,20,28,-0.5939849624060152
27,coex_ATA,25,26,-0.04156862745098033
28,coex_FIB,20,26,-0.5117892976588629
29,coex_BRC,31,24,-0.1787380807466017
30,coex_ATT,21,24,-0.125
31,coex_TNV,21,24,-0.32361111111111107
32,coex_SPL,23,23,-0.0652173913043479
33,coex_LCL,15,16,-0.9381048387096773
34,coex_CLS,23,24,-0.19556982872200268
35,coex_EMC,24,27,-0.31172302737520097
36,coex_CLT,25,29,0.09320728291316516
37,coex_core,33,34,-0.286628355548461
38,coex_WBL,26,30,-0.13763736263736281
39,co-essential,10,9,-0.2238562091503269
40,GOBP,4,12,-0.6875
41,ppi,50,50,-0.1100000000000001
42,reactome_copathway,26,25,-0.028571428571428692
43,MP,9,11,-0.35175438596491215
44,HP,16,12,0.23065476190476208
45,GI_net,19,22,-0.2800125313283206
46,gene_gene_on_CbG_name_mapped,17,14,-0.24044456492274335
47,gene_gene_on_GcG_name_mapped,33,29,-0.44578150807294303
48,GOMF,3,2,
