,Layer,Vitiligo nodes,Hyperpigmentation_of_the_skin nodes,sAB
0,coex_KDN,41,39,0.28610068792995613
1,coex_BST,25,34,0.229122632103689
2,coex_OVR,30,39,0.4084003061615
3,coex_LNG,36,38,0.6932195353247987
4,coex_ITI,37,37,0.17567567567567566
5,coex_VGN,34,40,0.3355334163553343
6,coex_HRV,18,22,0.6399521531100478
7,coex_MSG,34,42,0.23256671089488434
8,coex_ADV,26,33,0.46836355734660806
9,coex_EMS,25,36,0.17534608378870686
10,coex_SMU,24,37,0.3704493427854083
11,coex_ARG,25,35,0.4614285714285713
12,coex_TST,31,40,0.0837176283507497
13,coex_PIT,27,40,0.12047720797720785
14,coex_LVR,26,37,0.5130102630102629
15,coex_THY,29,32,0.2800595238095238
16,coex_PNC,30,33,0.28368107302533563
17,coex_ATC,32,37,0.32938868659931275
18,coex_BRO,30,38,0.6574626865671642
19,coex_SKN,30,37,0.40529111200753
20,coex_ADS,27,29,0.7570567038686753
21,coex_GEJ,23,40,0.2596445824706697
22,coex_BRB,26,22,0.3956895817360935
23,coex_UTR,23,34,0.02849194597747573
24,coex_STM,33,38,0.4234969835656335
25,coex_HRA,22,36,0.41570881226053613
26,coex_PRS,21,36,0.09586466165413521
27,coex_ATA,31,29,0.5347608453837598
28,coex_FIB,21,33,0.38768638768638786
29,coex_BRC,30,38,0.10939112487100111
30,coex_ATT,29,34,0.5179492365254323
31,coex_TNV,17,19,1.4475404196766428
32,coex_SPL,29,38,0.4696278137443457
33,coex_LCL,23,32,0.2789351851851851
34,coex_CLS,30,37,0.010508269463493258
35,coex_EMC,31,37,0.5336171085696702
36,coex_CLT,30,38,0.07684550221863651
37,coex_core,36,39,0.4224358974358977
38,coex_WBL,33,37,0.4330057330057331
39,co-essential,6,19,1.0038138825324179
40,GOBP,16,29,2.2829415954415957
41,ppi,49,49,0.26530612244897944
42,reactome_copathway,23,17,0.8600454674623474
43,MP,19,16,1.3944220430107523
44,HP,23,36,0.34222754441988035
45,GI_net,16,34,-0.11458333333333348
46,gene_gene_on_CbG_name_mapped,6,10,0.1416666666666666
47,gene_gene_on_GcG_name_mapped,29,25,-0.16605363984674315
48,GOMF,10,14,
