,Layer,West_syndrome nodes,Familial_multiple_polyposis_syndrome nodes,sAB
0,coex_KDN,46,41,0.10770980788675444
1,coex_BST,37,28,0.14756944444444464
2,coex_OVR,38,32,0.35100619195046434
3,coex_LNG,38,38,0.38157894736842124
4,coex_ITI,40,39,0.4781686140863355
5,coex_VGN,40,33,0.3151463262764631
6,coex_HRV,23,28,0.5212337662337663
7,coex_MSG,42,42,0.24999999999999978
8,coex_ADV,35,28,0.3007936507936506
9,coex_EMS,40,25,0.19040064102564092
10,coex_SMU,39,30,0.21180635285112892
11,coex_ARG,40,29,0.13152173913043486
12,coex_TST,44,35,0.26467614663817196
13,coex_PIT,43,38,0.2521152637431707
14,coex_LVR,38,37,0.18601706970128018
15,coex_THY,37,32,0.6456558460634549
16,coex_PNC,37,33,0.3000936000936001
17,coex_ATC,39,34,0.1526671340258745
18,coex_BRO,42,32,0.5245677413965923
19,coex_SKN,41,34,0.2607747489239598
20,coex_ADS,21,27,0.16668636721828234
21,coex_GEJ,36,28,0.3341949269368625
22,coex_BRB,20,27,0.7325059101654845
23,coex_UTR,34,22,0.08435192258721669
24,coex_STM,39,41,0.21225766103814903
25,coex_HRA,38,33,0.22300696594427238
26,coex_PRS,36,30,0.23737373737373724
27,coex_ATA,38,29,0.5362028333829945
28,coex_FIB,35,30,0.18474495471158425
29,coex_BRC,42,33,0.36303490990990994
30,coex_ATT,38,31,0.82402962355834
31,coex_TNV,16,23,0.7537380382775121
32,coex_SPL,43,28,0.0784942211407984
33,coex_LCL,27,20,0.14907407407407414
34,coex_CLS,38,32,0.4777072414556731
35,coex_EMC,35,34,0.2891774891774892
36,coex_CLT,38,36,0.17148727675043474
37,coex_core,39,40,0.34294060370009705
38,coex_WBL,36,35,0.280538788285267
39,co-essential,11,15,0.5437229437229436
40,GOBP,22,14,1.4283216783216783
41,ppi,49,50,0.11982890125747248
42,reactome_copathway,18,28,1.087765356820235
43,MP,5,16,2.7125000000000004
44,HP,34,22,0.6042780748663101
45,GI_net,20,25,-0.0011111111111110628
46,gene_gene_on_CbG_name_mapped,12,12,0.20833333333333348
47,gene_gene_on_GcG_name_mapped,33,39,-0.059926184926184956
48,GOMF,4,4,
