,Layer,West_syndrome nodes,Urticaria nodes,sAB
0,coex_KDN,46,39,0.2815364941963405
1,coex_BST,37,16,0.09937641723356005
2,coex_OVR,38,25,0.22180451127819545
3,coex_LNG,38,31,0.6710779717710258
4,coex_ITI,40,33,0.28814342050643416
5,coex_VGN,40,27,0.35817307692307687
6,coex_HRV,23,20,1.309090909090909
7,coex_MSG,42,33,0.22445887445887447
8,coex_ADV,35,28,0.4821428571428572
9,coex_EMS,40,21,0.2647544545849634
10,coex_SMU,39,21,0.2847985347985351
11,coex_ARG,40,21,0.765395480225989
12,coex_TST,44,21,-0.014477189477189345
13,coex_PIT,43,30,0.36202612296909864
14,coex_LVR,38,32,0.25803018575851366
15,coex_THY,37,24,0.5105562083822957
16,coex_PNC,37,23,0.5497453975714843
17,coex_ATC,39,26,0.4615384615384617
18,coex_BRO,42,26,0.5030894308943092
19,coex_SKN,41,31,0.3364439731353839
20,coex_ADS,21,28,0.7155437352245864
21,coex_GEJ,36,30,0.906597222222222
22,coex_BRB,20,19,0.869028340080972
23,coex_UTR,34,14,0.10031512605042003
24,coex_STM,39,27,0.28697228697228727
25,coex_HRA,38,21,0.10964912280701755
26,coex_PRS,36,24,0.24722222222222223
27,coex_ATA,38,25,0.7201670843776107
28,coex_FIB,35,16,0.11325280112044833
29,coex_BRC,42,19,0.3571216176033305
30,coex_ATT,38,29,1.1923705151472845
31,coex_TNV,16,18,1.2485702614379082
32,coex_SPL,43,35,0.3311264418975557
33,coex_LCL,27,14,-0.08359143115240686
34,coex_CLS,38,27,0.1013451743502678
35,coex_EMC,35,26,0.5202924194449619
36,coex_CLT,38,26,0.11677631578947367
37,coex_core,39,35,0.5305429864253393
38,coex_WBL,36,37,0.5753938870377224
39,co-essential,11,5,1.2193181818181817
40,GOBP,22,25,1.2886977886977884
41,ppi,49,48,0.25883871589873064
42,reactome_copathway,18,22,1.3511029411764706
43,MP,5,17,3.1865325077399382
44,HP,34,25,0.5996709870388832
45,GI_net,20,15,0.16818181818181843
46,gene_gene_on_CbG_name_mapped,12,13,0.3144871794871795
47,gene_gene_on_GcG_name_mapped,33,31,0.019305962854350156
48,GOMF,4,8,
