,Layer,West_syndrome nodes,beta_Thalassemia nodes,sAB
0,coex_KDN,46,29,0.08814257254934166
1,coex_BST,37,19,0.1239898989898991
2,coex_OVR,38,21,0.0753154071619726
3,coex_LNG,38,31,0.5191721101551035
4,coex_ITI,40,24,0.1333333333333333
5,coex_VGN,40,25,0.0674999999999999
6,coex_HRV,23,16,0.3570075757575757
7,coex_MSG,42,26,0.13213747037276447
8,coex_ADV,35,20,0.09423076923076934
9,coex_EMS,40,22,0.35525812984829397
10,coex_SMU,39,19,0.1333783175888441
11,coex_ARG,40,22,0.07456011730205292
12,coex_TST,44,24,-0.08366755793226388
13,coex_PIT,43,25,0.2779890560875513
14,coex_LVR,38,33,0.3120870357712464
15,coex_THY,37,19,0.32078897078897084
16,coex_PNC,37,21,0.06852172369413756
17,coex_ATC,39,22,0.19474378080935462
18,coex_BRO,42,24,0.5078330206378987
19,coex_SKN,41,18,-0.01081714206972606
20,coex_ADS,21,16,-0.1395833333333334
21,coex_GEJ,36,19,0.33796296296296324
22,coex_BRB,20,15,0.6541666666666668
23,coex_UTR,34,21,0.11119174942704335
24,coex_STM,39,26,-0.04487179487179471
25,coex_HRA,38,19,0.16228070175438591
26,coex_PRS,36,27,0.2133305762338018
27,coex_ATA,38,17,0.6721643681396006
28,coex_FIB,35,17,0.04952731092436968
29,coex_BRC,42,23,0.393756967670011
30,coex_ATT,38,17,0.857151559454191
31,coex_TNV,16,15,0.7598214285714286
32,coex_SPL,43,38,0.28978629792583255
33,coex_LCL,27,16,0.32755839463156544
34,coex_CLS,38,24,0.20851018675721567
35,coex_EMC,35,26,0.15034457068355378
36,coex_CLT,38,24,0.12786502546689293
37,coex_core,39,32,0.2581039032651937
38,coex_WBL,36,34,0.3594771241830066
39,co-essential,11,11,0.40909090909090917
40,GOBP,22,28,1.3368928368928366
41,ppi,49,50,0.23195011337868454
42,reactome_copathway,18,10,0.6953581871345029
43,MP,5,15,4.01984126984127
44,HP,34,22,0.7357715813598165
45,GI_net,20,16,0.055882352941176716
46,gene_gene_on_CbG_name_mapped,12,15,0.015740740740740833
47,gene_gene_on_GcG_name_mapped,33,32,-0.09179050116550114
48,GOMF,4,2,
