,Layer,beta_Thalassemia nodes,Kidney_damage nodes,sAB
0,coex_KDN,29,46,0.5388572836869234
1,coex_BST,19,35,0.23809523809523792
2,coex_OVR,21,37,0.008720543203301734
3,coex_LNG,31,41,0.6542092840283242
4,coex_ITI,24,43,0.026213409695707623
5,coex_VGN,25,39,0.04426282051282038
6,coex_HRV,16,24,0.47882033248081823
7,coex_MSG,26,44,0.3187812187812187
8,coex_ADV,20,30,0.4476950354609932
9,coex_EMS,22,34,0.5187165775401068
10,coex_SMU,19,35,0.38002395926924226
11,coex_ARG,22,36,0.2781840966051492
12,coex_TST,24,43,0.1859091172046743
13,coex_PIT,25,43,0.2718331053351575
14,coex_LVR,33,25,0.5775757575757576
15,coex_THY,19,40,0.6486590038314177
16,coex_PNC,21,32,0.2557137241689129
17,coex_ATC,22,38,0.5256778309409889
18,coex_BRO,24,42,0.7299783549783547
19,coex_SKN,18,40,0.11307471264367797
20,coex_ADS,16,30,0.2571557971014493
21,coex_GEJ,19,33,0.3377896613190732
22,coex_BRB,15,32,0.8007575757575758
23,coex_UTR,21,32,0.3377695417789761
24,coex_STM,26,39,0.18846153846153846
25,coex_HRA,19,36,0.5246544391281232
26,coex_PRS,27,32,0.4787798408488064
27,coex_ATA,17,32,0.5119297719087639
28,coex_FIB,17,28,0.237418831168831
29,coex_BRC,23,37,0.369917743830787
30,coex_ATT,17,36,0.6760149572649574
31,coex_TNV,15,29,0.6681464085233131
32,coex_SPL,38,33,1.147256347256347
33,coex_LCL,16,18,0.9717261904761905
34,coex_CLS,24,37,0.40698382809038547
35,coex_EMC,26,39,0.23260073260073244
36,coex_CLT,24,39,0.35370879120879106
37,coex_core,32,42,0.4790322580645161
38,coex_WBL,34,17,0.2749099639855941
39,co-essential,11,4,0.7294372294372296
40,GOBP,28,25,1.286092530657748
41,ppi,50,48,0.2835374149659864
42,reactome_copathway,10,13,1.542735042735043
43,MP,15,22,0.8354978354978351
44,HP,22,21,1.1139635558240206
45,GI_net,16,14,0.07142857142857162
46,gene_gene_on_CbG_name_mapped,15,4,0.22236842105263155
47,gene_gene_on_GcG_name_mapped,32,34,0.15126448306595375
48,GOMF,2,4,
