,Layer,Asthma nodes,Familial_multiple_polyposis_syndrome nodes,sAB
0,coex_KDN,27,37,0.3268581081081081
1,coex_BST,12,30,0.15450658816933016
2,coex_OVR,19,32,0.16285229202037366
3,coex_LNG,26,34,0.20354449472096547
4,coex_ITI,25,32,0.15850230414746536
5,coex_VGN,18,32,-0.08659722222222221
6,coex_HRV,12,14,-0.11630036630036633
7,coex_MSG,25,34,0.09640079760717857
8,coex_ADV,14,24,0.14833959899749338
9,coex_EMS,10,24,-0.20318627450980387
10,coex_SMU,13,25,0.04166666666666696
11,coex_ARG,10,28,-0.26428571428571423
12,coex_TST,18,29,-0.03947582946115591
13,coex_PIT,18,32,-0.05288567039719094
14,coex_LVR,23,32,0.09022907900888244
15,coex_THY,11,28,0.1471028971028967
16,coex_PNC,10,28,0.2586466165413537
17,coex_ATC,14,32,-0.19167946748591902
18,coex_BRO,17,31,0.36701454775458586
19,coex_SKN,13,31,0.22880882558301918
20,coex_ADS,18,24,0.3098098995695837
21,coex_GEJ,13,28,0.08095238095238111
22,coex_BRB,14,20,0.11359126984126977
23,coex_UTR,9,23,-0.025985663082437327
24,coex_STM,23,33,-0.03801995106342915
25,coex_HRA,11,28,-0.18414141414141394
26,coex_PRS,19,25,0.13224880382775117
27,coex_ATA,15,27,-0.030701754385964453
28,coex_FIB,9,27,-0.2169934640522877
29,coex_BRC,13,28,0.08221656392388121
30,coex_ATT,13,24,-0.0532467532467531
31,coex_TNV,10,17,0.04041394335511983
32,coex_SPL,19,29,0.4295977011494252
33,coex_LCL,8,18,0.15893719806763285
34,coex_CLS,19,27,-0.2234511399271124
35,coex_EMC,13,30,-0.17708728053555634
36,coex_CLT,21,32,0.062064628482972006
37,coex_core,22,33,0.06328914141414099
38,coex_WBL,24,35,0.30864681295715757
39,co-essential,7,12,0.4594155844155843
40,GOBP,21,15,-0.35267145135566214
41,ppi,49,50,0.230336013193156
42,reactome_copathway,20,32,-0.13868773315777916
43,MP,16,12,0.1293139730639732
44,HP,18,37,0.4757166257166259
45,GI_net,13,28,0.05105105105105112
46,gene_gene_on_CbG_name_mapped,17,15,0.34644607843137254
47,gene_gene_on_GcG_name_mapped,24,29,0.02472348731294738
48,GOMF,6,2,
