,Layer,Atonic_seizure nodes,Absence_seizure nodes,sAB
0,coex_KDN,35,32,-0.686507196162047
1,coex_BST,22,23,-0.8928571428571428
2,coex_OVR,20,19,-0.6326585695006748
3,coex_LNG,23,21,-0.7505646527385659
4,coex_ITI,29,29,-0.43103448275862055
5,coex_VGN,27,26,-0.5642235123367199
6,coex_HRV,16,12,-0.9255952380952384
7,coex_MSG,28,25,-0.5348382749326146
8,coex_ADV,20,16,-0.6416666666666668
9,coex_EMS,21,23,-0.8433559194428764
10,coex_SMU,21,19,-1.0207393483709275
11,coex_ARG,22,28,-0.42194805194805207
12,coex_TST,34,35,-0.6380526123492876
13,coex_PIT,33,30,-0.5830447330447333
14,coex_LVR,26,23,-0.6540850453893932
15,coex_THY,22,20,-0.7599567099567097
16,coex_PNC,24,22,-1.086050724637681
17,coex_ATC,29,25,-0.638544061302682
18,coex_BRO,39,42,-0.6042488787460976
19,coex_SKN,25,22,-0.8653656126482212
20,coex_ADS,22,24,-0.8767857142857141
21,coex_GEJ,24,25,-0.9970238095238095
22,coex_BRB,26,34,-0.6570889894419305
23,coex_UTR,16,17,-0.5793226381461676
24,coex_STM,27,30,-0.38391812865497066
25,coex_HRA,26,23,-0.7968840579710148
26,coex_PRS,21,22,-0.6269254001812139
27,coex_ATA,24,21,-1.3596618357487926
28,coex_FIB,19,18,-0.4842737474316423
29,coex_BRC,36,36,-0.7317460317460318
30,coex_ATT,23,23,-0.8684672815107595
31,coex_TNV,22,22,-0.7606516290726817
32,coex_SPL,25,24,-0.6156972789115644
33,coex_LCL,15,13,-0.6150649350649349
34,coex_CLS,28,27,-0.5448172198172196
35,coex_EMC,24,21,-0.8480158730158731
36,coex_CLT,31,27,-0.47923976608187124
37,coex_core,26,27,-0.5119825708061001
38,coex_WBL,19,17,-1.288011695906433
39,co-essential,8,6,-1.1130952380952386
40,GOBP,17,25,-0.962697274031564
41,ppi,50,50,-0.52
42,reactome_copathway,23,17,-0.7365152010460934
43,MP,8,14,-1.0576923076923075
44,HP,35,32,-0.44720149253731334
45,GI_net,19,17,-0.804793233082707
46,gene_gene_on_CbG_name_mapped,29,28,-0.3168049433929654
47,gene_gene_on_GcG_name_mapped,30,35,-0.6216117216117216
48,GOMF,0,1,
