,Layer,Back_pain nodes,Arthralgia nodes,sAB
0,coex_KDN,44,33,-0.17478354978354993
1,coex_BST,33,18,-0.22235294117647042
2,coex_OVR,34,22,-0.1393239113827347
3,coex_LNG,37,28,0.08653846153846168
4,coex_ITI,38,29,0.009501042879973998
5,coex_VGN,40,22,-0.037206744868035324
6,coex_HRV,20,18,0.1860432330827071
7,coex_MSG,39,26,-0.04743589743589749
8,coex_ADV,32,22,0.11708683473389359
9,coex_EMS,36,19,-0.2947900053163215
10,coex_SMU,33,16,0.016253092145949388
11,coex_ARG,33,18,-0.16320903361344552
12,coex_TST,40,24,-0.0864583333333333
13,coex_PIT,41,23,0.07117839889579036
14,coex_LVR,41,25,-0.18955597248280198
15,coex_THY,35,23,0.07588348682801449
16,coex_PNC,35,19,-0.20520746310220028
17,coex_ATC,33,25,0.03307923960097847
18,coex_BRO,39,24,0.06013016411997718
19,coex_SKN,39,22,-0.10066299820398195
20,coex_ADS,31,21,0.08015360983102937
21,coex_GEJ,31,15,-0.04263674614305746
22,coex_BRB,31,19,-0.04089453214367422
23,coex_UTR,32,15,-0.34801136363636376
24,coex_STM,37,26,0.11818136818136815
25,coex_HRA,36,17,-0.16250462449130554
26,coex_PRS,40,19,-0.222447143499775
27,coex_ATA,32,22,0.03556397306397319
28,coex_FIB,28,16,0.029761904761904656
29,coex_BRC,34,20,0.3718954248366013
30,coex_ATT,36,17,-0.12928248222365912
31,coex_TNV,19,16,0.41042311661506714
32,coex_SPL,38,26,-0.08103491902833992
33,coex_LCL,24,11,-0.05427489177489164
34,coex_CLS,35,26,-0.038182309493785205
35,coex_EMC,35,28,0.24254540525887758
36,coex_CLT,38,26,0.14019214703425242
37,coex_core,39,28,0.0076611984506722575
38,coex_WBL,33,26,-0.03918495297805613
39,co-essential,11,3,-0.05303030303030276
40,GOBP,17,21,0.33700980392156854
41,ppi,50,49,0.05972789115646271
42,reactome_copathway,17,21,0.39442724458204337
43,MP,14,19,-0.021887651821862697
44,HP,37,45,0.2506006006006005
45,GI_net,20,12,-0.30876196172248793
46,gene_gene_on_CbG_name_mapped,11,6,-0.1345811051693404
47,gene_gene_on_GcG_name_mapped,34,25,-0.19820538384845454
48,GOMF,7,7,-0.8
