,Layer,Bladder_neoplasm nodes,Macular_degeneration nodes,sAB
0,coex_KDN,36,31,0.20004814636494928
1,coex_BST,21,19,-0.31347117794486223
2,coex_OVR,22,26,0.05788866930171288
3,coex_LNG,27,27,0.0370370370370372
4,coex_ITI,32,33,0.012550990675990636
5,coex_VGN,28,29,0.0
6,coex_HRV,17,15,0.5768145161290326
7,coex_MSG,29,31,-0.07200593251761211
8,coex_ADV,20,23,-0.14890487087283422
9,coex_EMS,24,24,0.13432778291705194
10,coex_SMU,18,23,0.15379403794037927
11,coex_ARG,20,23,0.018939393939394034
12,coex_TST,28,34,-0.0076917863919760965
13,coex_PIT,26,29,-0.0806848324089704
14,coex_LVR,25,29,0.06662058121882453
15,coex_THY,23,22,-0.10841332580463003
16,coex_PNC,22,25,0.11026021080368897
17,coex_ATC,22,26,-0.0855545164055802
18,coex_BRO,24,28,0.05160675381263635
19,coex_SKN,24,29,-0.130584471914986
20,coex_ADS,20,24,-0.0269716885743172
21,coex_GEJ,24,23,-0.08761528326745704
22,coex_BRB,21,19,-0.0859649122807018
23,coex_UTR,17,19,0.026917784657722876
24,coex_STM,25,24,0.12457482993197244
25,coex_HRA,19,26,0.2909243697478989
26,coex_PRS,24,25,0.2172266139657446
27,coex_ATA,19,22,-0.11305286497841038
28,coex_FIB,23,22,0.11904761904761907
29,coex_BRC,25,28,0.06213675213675196
30,coex_ATT,16,24,0.2723997493734336
31,coex_TNV,19,15,0.22579175210754165
32,coex_SPL,23,27,-0.03268921095008004
33,coex_LCL,15,15,-0.011294261294261254
34,coex_CLS,24,29,0.2998366013071898
35,coex_EMC,23,26,-0.024708211043614536
36,coex_CLT,29,31,0.021245020698273942
37,coex_core,31,32,0.18758036236119224
38,coex_WBL,28,26,-0.2685319572112026
39,co-essential,10,7,0.3705882352941181
40,GOBP,15,20,0.9030439000727624
41,ppi,50,49,0.20084724799010512
42,reactome_copathway,21,6,0.6698179271708682
43,MP,9,24,0.6363636363636367
44,HP,18,43,0.6208116236709453
45,GI_net,20,15,0.18947368421052624
46,gene_gene_on_CbG_name_mapped,20,9,-0.15009578544061308
47,gene_gene_on_GcG_name_mapped,29,33,-0.03131425489601236
48,GOMF,4,7,
