,Layer,Celiac_disease nodes,Oligomenorrhea nodes,sAB
0,coex_KDN,32,27,0.28929300062774654
1,coex_BST,17,22,-0.04631153160564949
2,coex_OVR,23,21,0.32608695652173925
3,coex_LNG,28,25,0.6387601078167116
4,coex_ITI,29,25,0.30393358876117516
5,coex_VGN,21,21,-0.07142857142857162
6,coex_HRV,14,9,-0.18581780538302262
7,coex_MSG,28,25,0.13381401617250677
8,coex_ADV,18,21,0.13172514619883025
9,coex_EMS,21,17,0.10242448330683596
10,coex_SMU,17,18,0.14828431372549034
11,coex_ARG,14,22,0.11021505376344098
12,coex_TST,23,30,0.22095980311730923
13,coex_PIT,21,24,0.12422360248447206
14,coex_LVR,21,23,-0.10653115000941105
15,coex_THY,23,21,0.5692640692640691
16,coex_PNC,22,18,0.03388278388278376
17,coex_ATC,24,24,0.14583333333333348
18,coex_BRO,24,24,0.16666666666666652
19,coex_SKN,21,22,-0.0032467532467532756
20,coex_ADS,19,18,0.8643790849673199
21,coex_GEJ,22,19,0.5659389952153107
22,coex_BRB,16,16,0.5
23,coex_UTR,12,19,0.09946236559139754
24,coex_STM,27,20,-0.04269109535067006
25,coex_HRA,18,23,0.08409247757073857
26,coex_PRS,23,17,-0.15701978731996258
27,coex_ATA,26,23,0.03511705685618738
28,coex_FIB,17,17,0.20588235294117618
29,coex_BRC,20,22,0.12349012775842061
30,coex_ATT,22,22,0.179284130503643
31,coex_TNV,17,15,0.18405172413793114
32,coex_SPL,31,22,0.14272671941570314
33,coex_LCL,16,16,0.22473118279569926
34,coex_CLS,21,19,0.18095238095238075
35,coex_EMC,26,18,0.1831501831501834
36,coex_CLT,23,20,0.18154080854309673
37,coex_core,34,28,0.47138047138047123
38,coex_WBL,29,24,0.47750000000000004
39,co-essential,5,6,0.20000000000000018
40,GOBP,18,20,2.350375939849624
41,ppi,49,45,0.17733391228831974
42,reactome_copathway,19,23,0.8816956471000115
43,MP,15,13,2.6188644688644684
44,HP,26,48,0.79257623007623
45,GI_net,15,14,0.03357753357753346
46,gene_gene_on_CbG_name_mapped,11,11,0.5909090909090908
47,gene_gene_on_GcG_name_mapped,30,31,0.06482460779129218
48,GOMF,15,4,
