,Layer,Cryptorchidism nodes,Erectile_dysfunction nodes,sAB
0,coex_KDN,15,37,-0.11923076923076925
1,coex_BST,7,23,0.007867494824016497
2,coex_OVR,19,32,0.03782894736842124
3,coex_LNG,17,28,-0.3229187023646667
4,coex_ITI,15,34,-0.06337535014005602
5,coex_VGN,13,33,-0.13308080808080813
6,coex_HRV,10,20,0.04999999999999982
7,coex_MSG,15,37,-0.11822591822591821
8,coex_ADV,8,22,0.05329153605015646
9,coex_EMS,11,31,0.12612116443745114
10,coex_SMU,11,29,-0.2822100313479625
11,coex_ARG,13,23,0.09514260249554374
12,coex_TST,26,36,-0.1664598842018199
13,coex_PIT,19,36,-0.27262094630515654
14,coex_LVR,11,29,-0.3441222570532916
15,coex_THY,11,28,-0.4372294372294374
16,coex_PNC,11,28,-0.27418414918414946
17,coex_ATC,12,28,-0.1642857142857146
18,coex_BRO,17,32,-0.24684873949579833
19,coex_SKN,11,30,-0.15410199556541038
20,coex_ADS,6,28,1.125
21,coex_GEJ,14,26,-0.6491683991683992
22,coex_BRB,12,24,-0.5416666666666665
23,coex_UTR,11,19,-0.13046251993620395
24,coex_STM,14,35,-0.3632653061224491
25,coex_HRA,13,30,-0.18223443223443248
26,coex_PRS,14,31,0.13596886983983758
27,coex_ATA,11,26,0.14540459540459505
28,coex_FIB,9,23,-0.09734441186054088
29,coex_BRC,13,33,-0.315749467923381
30,coex_ATT,9,31,-0.056810035842293605
31,coex_TNV,6,23,-0.4105590062111806
32,coex_SPL,13,30,0.231097197376267
33,coex_LCL,8,22,-0.16769293924466333
34,coex_CLS,11,30,-0.2797117516629708
35,coex_EMC,11,28,-0.3342105263157893
36,coex_CLT,13,29,-0.2405582922824301
37,coex_core,14,33,-0.061353980322003565
38,coex_WBL,15,29,0.1036124794745481
39,co-essential,7,10,-0.0952380952380949
40,GOBP,16,7,-0.11904761904761951
41,ppi,50,50,0.0
42,reactome_copathway,16,24,-0.08051948051948066
43,MP,18,12,0.30277777777777803
44,HP,47,30,0.11616929170120649
45,GI_net,23,23,-0.42805383022774324
46,gene_gene_on_CbG_name_mapped,21,21,-0.19047619047619047
47,gene_gene_on_GcG_name_mapped,31,35,-0.403113553113553
48,GOMF,9,7,-1.3
