,Layer,Diarrhea nodes,Cholangitis nodes,sAB
0,coex_KDN,25,38,0.060610287707062005
1,coex_BST,11,20,0.012759170653907415
2,coex_OVR,7,25,-0.06392857142857133
3,coex_LNG,14,29,-0.22023809523809534
4,coex_ITI,29,36,-0.06371942234011208
5,coex_VGN,9,27,-0.08399470899470929
6,coex_HRV,6,22,-0.5432900432900434
7,coex_MSG,15,32,-0.10432180851063855
8,coex_ADV,11,25,-0.07142857142857162
9,coex_EMS,7,22,-0.28571428571428603
10,coex_SMU,8,26,-0.33257575757575797
11,coex_ARG,9,21,0.18253968253968278
12,coex_TST,18,31,-0.217906517445688
13,coex_PIT,10,29,0.17437437437437442
14,coex_LVR,13,30,0.34060822898032184
15,coex_THY,16,26,0.369276556776557
16,coex_PNC,12,26,0.592442645074224
17,coex_ATC,11,25,-0.21585497835497813
18,coex_BRO,14,26,0.2755494505494509
19,coex_SKN,7,26,0.20964285714285724
20,coex_ADS,5,27,-0.16025641025641013
21,coex_GEJ,13,28,-0.12130754236017394
22,coex_BRB,7,22,0.43260188087774276
23,coex_UTR,6,17,0.35609243697478954
24,coex_STM,16,31,0.2575283115991762
25,coex_HRA,8,23,-0.172335203366059
26,coex_PRS,6,25,0.016666666666666607
27,coex_ATA,6,21,-0.0670329670329668
28,coex_FIB,7,18,-0.06442577030812346
29,coex_BRC,10,28,0.2341341341341341
30,coex_ATT,6,22,-0.09999999999999964
31,coex_TNV,12,17,-0.10953346855983748
32,coex_SPL,18,33,-0.25029708853238275
33,coex_LCL,10,14,0.2905844155844157
34,coex_CLS,23,31,0.37945036915504526
35,coex_EMC,15,24,0.10870927318295731
36,coex_CLT,23,30,0.1567599067599068
37,coex_core,17,35,0.4111764705882355
38,coex_WBL,16,26,0.25570121951219527
39,co-essential,4,9,1.916666666666666
40,GOBP,22,21,1.0524893314366999
41,ppi,49,48,0.021720930640297453
42,reactome_copathway,18,23,0.22727272727272751
43,MP,18,11,-0.6107843137254902
44,HP,44,33,0.13798701298701288
45,GI_net,15,22,-0.13571428571428568
46,gene_gene_on_CbG_name_mapped,12,14,-0.2866300366300367
47,gene_gene_on_GcG_name_mapped,30,28,-0.14252873563218404
48,GOMF,6,4,
