,Layer,Epilepsy nodes,Atypical_absence_seizure nodes,sAB
0,coex_KDN,21,31,-0.4446413801252509
1,coex_BST,15,23,-0.0023809523809521504
2,coex_OVR,7,17,-0.024675324675324184
3,coex_LNG,13,22,-0.21234402852049916
4,coex_ITI,16,27,-0.23747763864042937
5,coex_VGN,18,27,-0.3814814814814813
6,coex_HRV,7,12,-0.6256265664160403
7,coex_MSG,16,26,-0.28937728937728924
8,coex_ADV,11,19,-0.3604465709728868
9,coex_EMS,12,20,-0.1958333333333333
10,coex_SMU,12,20,-0.40625
11,coex_ARG,21,25,-0.4218219461697723
12,coex_TST,21,30,-0.21456582633053234
13,coex_PIT,27,29,-0.3617952928297754
14,coex_LVR,14,21,-0.26428571428571423
15,coex_THY,13,23,0.08952811893988377
16,coex_PNC,19,26,-0.3971884840305895
17,coex_ATC,14,25,-0.3073992673992676
18,coex_BRO,30,40,-0.37904124860646604
19,coex_SKN,14,24,-0.3031727379553466
20,coex_ADS,9,18,-0.624166666666667
21,coex_GEJ,14,22,-0.07296037296037294
22,coex_BRB,25,33,-0.4800835945663531
23,coex_UTR,15,17,-0.37977771753862855
24,coex_STM,17,29,-0.09992062792133338
25,coex_HRA,14,22,-0.411904761904762
26,coex_PRS,14,22,-0.308191808191808
27,coex_ATA,12,24,-0.2870129870129867
28,coex_FIB,11,14,-0.4007792207792207
29,coex_BRC,29,39,-0.456663434604611
30,coex_ATT,12,20,-0.29166666666666696
31,coex_TNV,10,23,-0.5037878787878789
32,coex_SPL,13,23,-0.1923076923076925
33,coex_LCL,9,10,-0.4815126050420169
34,coex_CLS,15,25,-0.2716666666666667
35,coex_EMC,13,23,0.04227053140096615
36,coex_CLT,14,25,-0.2191208791208792
37,coex_core,13,25,-0.05369751021924918
38,coex_WBL,14,11,0.9166666666666665
39,co-essential,6,5,0.07121212121212128
40,GOBP,19,21,-0.47405372405372415
41,ppi,49,49,-0.30612244897959195
42,reactome_copathway,17,19,-1.0980392156862744
43,MP,14,12,-0.6416083916083917
44,HP,43,37,-0.1507071024512886
45,GI_net,18,14,-0.3868637110016422
46,gene_gene_on_CbG_name_mapped,16,22,-0.3817284688995216
47,gene_gene_on_GcG_name_mapped,31,30,-0.4610347258945884
48,GOMF,2,5,
