,Layer,Episcleritis nodes,Hepatic_encephalopathy nodes,sAB
0,coex_KDN,45,38,-0.23263932924681185
1,coex_BST,27,20,0.1568314726209461
2,coex_OVR,32,24,-0.3199705387205387
3,coex_LNG,34,31,-0.2105632942326494
4,coex_ITI,38,29,-0.15412953381910777
5,coex_VGN,33,23,-0.26625631313131315
6,coex_HRV,17,19,-0.3416433239962653
7,coex_MSG,32,27,-0.15761338669177638
8,coex_ADV,29,29,-0.18165024630541904
9,coex_EMS,31,27,-0.27489391504964367
10,coex_SMU,26,27,-0.41478524969091013
11,coex_ARG,30,24,-0.3795597484276729
12,coex_TST,34,31,-0.24122755802072704
13,coex_PIT,36,30,-0.18560606060606055
14,coex_LVR,32,32,-0.375
15,coex_THY,32,25,-0.36196271929824597
16,coex_PNC,29,28,-0.15696569008728734
17,coex_ATC,32,29,-0.3956845238095239
18,coex_BRO,30,35,-0.3362637362637362
19,coex_SKN,34,30,-0.3113636363636365
20,coex_ADS,30,24,-0.22519295907601755
21,coex_GEJ,31,28,-0.7327380952380953
22,coex_BRB,22,26,-0.09815546772068529
23,coex_UTR,30,21,-0.19730823363828298
24,coex_STM,36,29,-0.1834143825523138
25,coex_HRA,27,25,-0.14592592592592601
26,coex_PRS,30,25,-0.5731481481481482
27,coex_ATA,32,28,-0.32023809523809543
28,coex_FIB,26,22,-0.4453671328671325
29,coex_BRC,26,29,-0.43185185185185215
30,coex_ATT,34,28,-0.5613741097612066
31,coex_TNV,15,17,-0.1683467741935485
32,coex_SPL,34,34,-0.32352941176470607
33,coex_LCL,25,17,-0.3844751315160211
34,coex_CLS,34,32,-0.28250244379276634
35,coex_EMC,32,24,-0.27104743083003946
36,coex_CLT,35,27,-0.20178399228543897
37,coex_core,38,35,-0.27987927565392345
38,coex_WBL,33,31,-0.3470949413489737
39,co-essential,6,7,0.6437728937728937
40,GOBP,21,18,-0.30714285714285694
41,ppi,49,49,-0.11224489795918369
42,reactome_copathway,22,23,-0.2823841755163963
43,MP,17,14,0.17962962962962958
44,HP,41,34,0.09722620755619293
45,GI_net,19,29,-0.49670868347338937
46,gene_gene_on_CbG_name_mapped,12,30,-0.04880952380952386
47,gene_gene_on_GcG_name_mapped,28,34,-0.2974383301707779
48,GOMF,9,8,
