,Layer,Episcleritis nodes,Keratitis nodes,sAB
0,coex_KDN,45,34,-0.42533022533022513
1,coex_BST,27,25,-0.6303418803418803
2,coex_OVR,32,38,-0.618092105263158
3,coex_LNG,34,31,-0.27828282828282846
4,coex_ITI,38,29,-0.5862952836637048
5,coex_VGN,33,38,-0.4414708646616543
6,coex_HRV,17,17,-0.6832107843137258
7,coex_MSG,32,41,-0.34361948713665225
8,coex_ADV,29,29,-0.3392857142857142
9,coex_EMS,31,32,-0.26858518945212495
10,coex_SMU,26,26,-0.6153846153846154
11,coex_ARG,30,26,-0.7182234432234431
12,coex_TST,34,34,-0.41176470588235303
13,coex_PIT,36,33,-0.5403491436100132
14,coex_LVR,32,32,-0.5
15,coex_THY,32,24,-0.609375
16,coex_PNC,29,31,-0.5796069707081946
17,coex_ATC,32,27,-0.34694131299734754
18,coex_BRO,30,33,-0.47096774193548385
19,coex_SKN,34,39,-0.42055167055167075
20,coex_ADS,30,28,-0.5101796267857974
21,coex_GEJ,31,36,-0.6255050505050503
22,coex_BRB,22,22,-0.6818181818181817
23,coex_UTR,30,26,-0.8185440613026818
24,coex_STM,36,28,-0.6125992063492065
25,coex_HRA,27,25,-0.2520797720797723
26,coex_PRS,30,30,-0.6277323202805376
27,coex_ATA,32,25,-0.560438596491228
28,coex_FIB,26,21,-0.5187241836178007
29,coex_BRC,26,30,-0.552727272727273
30,coex_ATT,34,26,-0.6659950219272255
31,coex_TNV,15,18,-0.22977941176470562
32,coex_SPL,34,30,-0.4295955882352942
33,coex_LCL,25,20,-0.35643939393939394
34,coex_CLS,34,29,-0.5795496679812588
35,coex_EMC,32,35,-0.27389705882352944
36,coex_CLT,35,31,-0.4380252100840336
37,coex_core,38,41,-0.31675342201657997
38,coex_WBL,33,28,-0.28760378965296995
39,co-essential,6,9,1.0388888888888888
40,GOBP,21,18,0.30000000000000027
41,ppi,49,50,-0.20125128839414552
42,reactome_copathway,22,27,-0.34650856389986817
43,MP,17,18,0.8225134408602153
44,HP,41,47,-0.23907864320422711
45,GI_net,19,26,-0.8601827094474155
46,gene_gene_on_CbG_name_mapped,12,8,-0.7833333333333334
47,gene_gene_on_GcG_name_mapped,28,25,-0.5271698113207548
48,GOMF,9,6,-0.8888888888888888
