,Layer,Erythroderma nodes,Pneumonia nodes,sAB
0,coex_KDN,30,26,0.053164428164428124
1,coex_BST,18,11,0.2314814814814814
2,coex_OVR,34,15,-0.08505402160864328
3,coex_LNG,28,22,-0.06476132563089054
4,coex_ITI,26,24,-0.017692307692307674
5,coex_VGN,38,11,-0.05477980665950599
6,coex_HRV,11,14,0.3270903010033446
7,coex_MSG,36,18,-0.07108415693321346
8,coex_ADV,18,18,-0.1777777777777776
9,coex_EMS,28,13,-0.27738095238095273
10,coex_SMU,19,10,-0.1303118908382066
11,coex_ARG,13,9,0.19246031746031766
12,coex_TST,23,17,-0.08576717400246814
13,coex_PIT,21,18,0.004273504273504036
14,coex_LVR,25,16,0.18137195121951244
15,coex_THY,22,20,-0.4136363636363636
16,coex_PNC,18,13,0.14481665288116918
17,coex_ATC,22,14,-0.03571428571428559
18,coex_BRO,20,19,0.15907557354925794
19,coex_SKN,37,12,0.09027777777777768
20,coex_ADS,31,11,0.7635805055159892
21,coex_GEJ,30,14,0.10367739718180768
22,coex_BRB,12,16,0.1517857142857142
23,coex_UTR,14,8,-0.18635531135531158
24,coex_STM,26,16,0.48363095238095255
25,coex_HRA,18,11,-0.06197390572390571
26,coex_PRS,27,16,-0.060113960113960196
27,coex_ATA,20,12,0.11874999999999991
28,coex_FIB,16,12,0.3467261904761907
29,coex_BRC,20,12,-0.028296547821165863
30,coex_ATT,23,10,-0.09393939393939421
31,coex_TNV,21,13,0.6925990675990676
32,coex_SPL,27,22,0.04251379038613079
33,coex_LCL,14,10,0.2922705314009666
34,coex_CLS,26,13,0.09408906882591062
35,coex_EMC,35,16,-0.07138089278264492
36,coex_CLT,27,21,-0.1105602169675397
37,coex_core,38,21,0.33753322700691113
38,coex_WBL,24,24,0.10597826086956541
39,co-essential,6,5,-1.041666666666666
40,GOBP,22,15,1.5547138047138045
41,ppi,49,50,0.31248402391259544
42,reactome_copathway,23,23,0.26238191632928465
43,MP,17,13,1.7203703703703703
44,HP,47,22,0.3683528158551286
45,GI_net,20,21,-0.33611111111111125
46,gene_gene_on_CbG_name_mapped,8,10,0.3944444444444444
47,gene_gene_on_GcG_name_mapped,17,31,-0.12768817204301075
48,GOMF,11,4,
