,Layer,Gingival_disorder nodes,Periodontitis nodes,sAB
0,coex_KDN,40,37,-0.867982456140351
1,coex_BST,21,22,-1.3035714285714286
2,coex_OVR,34,30,-0.997610294117647
3,coex_LNG,36,30,-1.2342490842490843
4,coex_ITI,38,33,-0.7347080890446347
5,coex_VGN,32,29,-0.7733630952380953
6,coex_HRV,20,20,-0.9499999999999997
7,coex_MSG,35,33,-0.7549401578813343
8,coex_ADV,36,29,-1.188131313131313
9,coex_EMS,30,25,-0.9229493207941482
10,coex_SMU,32,24,-0.8109436758893283
11,coex_ARG,30,26,-1.0677655677655675
12,coex_TST,33,29,-0.8487882158627432
13,coex_PIT,34,29,-0.7980778518303872
14,coex_LVR,40,32,-0.859422387648194
15,coex_THY,33,23,-1.0022591991341991
16,coex_PNC,30,30,-1.1833333333333333
17,coex_ATC,29,29,-1.0344827586206895
18,coex_BRO,28,26,-1.0027981277981277
19,coex_SKN,35,27,-0.7888853173327618
20,coex_ADS,27,25,-1.2174660633484164
21,coex_GEJ,28,28,-1.1253561253561253
22,coex_BRB,22,21,-0.8168478808013688
23,coex_UTR,29,23,-1.039285714285714
24,coex_STM,36,33,-0.8353096179183137
25,coex_HRA,27,27,-0.9669273773047358
26,coex_PRS,34,28,-1.0322919490376792
27,coex_ATA,29,21,-1.367261904761905
28,coex_FIB,27,22,-0.808716415859273
29,coex_BRC,30,26,-1.1371111646973717
30,coex_ATT,30,25,-1.2055414600392111
31,coex_TNV,21,17,-0.6796171171171168
32,coex_SPL,43,33,-1.0708430696190794
33,coex_LCL,23,17,-0.854079254079254
34,coex_CLS,31,25,-0.7238095238095239
35,coex_EMC,32,28,-1.0909226190476191
36,coex_CLT,35,24,-0.7629640839386602
37,coex_core,38,32,-0.6859384730352472
38,coex_WBL,35,32,-0.9561813186813188
39,co-essential,14,15,-1.7979474548440062
40,GOBP,18,17,-1.2014750482492413
41,ppi,49,49,-0.7040816326530612
42,reactome_copathway,26,28,-0.8544809228039043
43,MP,12,11,-2.2045454545454546
44,HP,46,29,-0.6969015492253873
45,GI_net,23,22,-1.1615384615384616
46,gene_gene_on_CbG_name_mapped,8,17,-0.3077941176470589
47,gene_gene_on_GcG_name_mapped,25,31,-1.1785714285714286
48,GOMF,3,1,
