,Layer,Gout nodes,Fatigue nodes,sAB
0,coex_KDN,36,19,-0.11283891547049452
1,coex_BST,26,11,0.11193536193536202
2,coex_OVR,22,13,-0.12982017982017968
3,coex_LNG,31,18,0.8133301707779887
4,coex_ITI,32,16,0.171875
5,coex_VGN,29,15,0.18730407523510983
6,coex_HRV,16,10,-0.24263888888888863
7,coex_MSG,38,16,0.2858187134502921
8,coex_ADV,28,15,0.13690476190476186
9,coex_EMS,24,15,-0.05392829900839047
10,coex_SMU,21,13,-0.02962723550958879
11,coex_ARG,22,14,-0.17415966386554604
12,coex_TST,30,16,0.04791666666666661
13,coex_PIT,31,17,0.1080803289057557
14,coex_LVR,26,21,0.06853146853146841
15,coex_THY,19,18,0.1637031768610715
16,coex_PNC,24,13,0.36101004851004825
17,coex_ATC,27,16,0.1801739926739927
18,coex_BRO,31,14,0.4859307359307361
19,coex_SKN,23,16,0.3456903127383675
20,coex_ADS,25,12,-0.038918918918918965
21,coex_GEJ,26,14,0.07270580296896112
22,coex_BRB,16,11,-0.15528846153846176
23,coex_UTR,21,11,0.35828445747800597
24,coex_STM,27,15,0.19629629629629664
25,coex_HRA,27,14,-0.05597496451155015
26,coex_PRS,26,12,0.3355405405405403
27,coex_ATA,24,15,0.1108974358974355
28,coex_FIB,25,12,0.13888888888888884
29,coex_BRC,26,13,0.16902834008097134
30,coex_ATT,23,16,-0.0724637681159419
31,coex_TNV,18,9,0.12037037037037024
32,coex_SPL,26,18,0.07925407925407946
33,coex_LCL,17,11,0.22451923076923075
34,coex_CLS,28,16,0.2821705426356593
35,coex_EMC,29,17,0.058294382220654306
36,coex_CLT,26,15,0.15166666666666684
37,coex_core,32,16,0.19747545582047676
38,coex_WBL,26,18,0.22027972027971998
39,co-essential,9,7,-0.07142857142857206
40,GOBP,19,19,0.12053571428571441
41,ppi,48,43,0.0460111593832524
42,reactome_copathway,13,30,1.4324860574860576
43,MP,15,15,0.21199633699633713
44,HP,22,41,0.33664167810509293
45,GI_net,21,19,0.03223684210526345
46,gene_gene_on_CbG_name_mapped,10,12,-0.09393939393939399
47,gene_gene_on_GcG_name_mapped,26,22,-0.021561771561771748
48,GOMF,5,10,
