,Layer,Hepatocellular_carcinoma nodes,Neoplasm_of_the_skin nodes,sAB
0,coex_KDN,22,40,-0.21445221445221474
1,coex_BST,15,25,-0.040000000000000036
2,coex_OVR,16,31,-0.10836839644693752
3,coex_LNG,17,34,-0.3670843337334935
4,coex_ITI,22,36,-0.2610153256704981
5,coex_VGN,21,34,-0.32903050108932486
6,coex_HRV,9,20,-0.588972431077694
7,coex_MSG,20,41,0.004638144742103112
8,coex_ADV,13,26,-0.16194331983805688
9,coex_EMS,14,29,0.42708213999312594
10,coex_SMU,16,27,-0.05654358626919631
11,coex_ARG,18,23,-0.13836060740085476
12,coex_TST,23,32,-0.2816217339358993
13,coex_PIT,17,29,-0.2602522268277625
14,coex_LVR,27,29,-0.19581280788177335
15,coex_THY,16,29,-0.601891762452107
16,coex_PNC,18,26,-0.03399378399378428
17,coex_ATC,18,33,-0.37340463458110507
18,coex_BRO,14,27,-0.17912087912087893
19,coex_SKN,20,35,0.2168831168831169
20,coex_ADS,14,33,-0.03503493788819867
21,coex_GEJ,16,28,-0.04099025974025983
22,coex_BRB,10,22,-0.17840909090909074
23,coex_UTR,13,22,-0.12622377622377634
24,coex_STM,20,30,-0.2666666666666664
25,coex_HRA,17,29,-0.3026301218161682
26,coex_PRS,17,25,-0.36812324929971996
27,coex_ATA,15,27,0.015840753645631978
28,coex_FIB,18,27,-0.09304584304584296
29,coex_BRC,18,26,-0.14335664335664333
30,coex_ATT,15,33,-0.09754224270353307
31,coex_TNV,8,22,0.36098484848484835
32,coex_SPL,26,33,0.0284164987554818
33,coex_LCL,14,19,-0.46875
34,coex_CLS,20,28,-0.5283816425120771
35,coex_EMC,21,30,-0.08123249299719881
36,coex_CLT,23,32,-0.27684041501976275
37,coex_core,21,42,0.08782201405152201
38,coex_WBL,21,32,-0.06808981657178981
39,co-essential,16,7,-0.2492063492063492
40,GOBP,8,11,1.0054621848739496
41,ppi,49,49,-0.030612244897959107
42,reactome_copathway,28,25,-0.04627450980392167
43,MP,12,13,0.04166666666666652
44,HP,27,35,0.0060931899641576415
45,GI_net,21,25,-0.20119047619047614
46,gene_gene_on_CbG_name_mapped,17,14,-0.20574681485497437
47,gene_gene_on_GcG_name_mapped,29,30,-0.05193843756088046
48,GOMF,6,4,
