,Layer,Inflammatory_bowel_disease nodes,Renal_tubular_acidosis nodes,sAB
0,coex_KDN,36,42,0.4511599511599509
1,coex_BST,20,30,0.36067909922589747
2,coex_OVR,28,26,0.20843508343508343
3,coex_LNG,32,34,0.059053533436835615
4,coex_ITI,36,31,0.06269057936125844
5,coex_VGN,27,29,0.1815175565175564
6,coex_HRV,18,15,0.6966476913345985
7,coex_MSG,34,36,0.1577264239028946
8,coex_ADV,27,29,0.4387157382847042
9,coex_EMS,23,29,-0.13313664023603167
10,coex_SMU,22,28,0.27253246753246785
11,coex_ARG,21,28,-0.10969387755102056
12,coex_TST,24,33,-0.07097288676236047
13,coex_PIT,28,35,0.1341269841269841
14,coex_LVR,33,31,0.19480519480519476
15,coex_THY,21,27,0.5523809523809522
16,coex_PNC,23,29,0.17962172759773987
17,coex_ATC,31,29,0.15417130144605107
18,coex_BRO,27,25,0.2656590413943354
19,coex_SKN,28,31,0.10896686159844049
20,coex_ADS,20,20,0.24707602339181278
21,coex_GEJ,25,34,0.06186461388074305
22,coex_BRB,21,15,0.6055555555555552
23,coex_UTR,18,25,0.0459943977591033
24,coex_STM,31,32,0.06038306451612896
25,coex_HRA,21,33,0.32670709793351316
26,coex_PRS,25,29,-0.04316730523627088
27,coex_ATA,28,27,0.044609164420485126
28,coex_FIB,15,28,0.05999446290143973
29,coex_BRC,25,33,0.05657327586206895
30,coex_ATT,26,29,-0.0948818043808286
31,coex_TNV,19,11,-0.4433760683760686
32,coex_SPL,31,35,-0.020988688730624316
33,coex_LCL,22,25,0.3650950498776586
34,coex_CLS,31,30,0.27586206896551735
35,coex_EMC,28,29,0.07142857142857162
36,coex_CLT,32,29,0.46587938100621806
37,coex_core,36,38,0.41545843689588535
38,coex_WBL,32,32,0.15625
39,co-essential,8,17,-0.08543417366946793
40,GOBP,21,32,1.2575892857142854
41,ppi,49,49,0.2142857142857142
42,reactome_copathway,21,15,0.1036045997346311
43,MP,19,19,1.1253968253968254
44,HP,30,41,0.7415893736402155
45,GI_net,25,17,0.22223218555714963
46,gene_gene_on_CbG_name_mapped,7,17,-0.04446778711484578
47,gene_gene_on_GcG_name_mapped,29,34,-0.01313628899835817
48,GOMF,8,6,
