,Layer,Joint_hemorrhage nodes,Hereditary_factor_IX_deficiency_disease nodes,sAB
0,coex_KDN,37,39,-0.47424955319692175
1,coex_BST,15,24,-0.556704260651629
2,coex_OVR,21,27,-0.5062830687830688
3,coex_LNG,21,29,-0.5253530377668307
4,coex_ITI,26,26,-0.3653846153846152
5,coex_VGN,24,28,-0.3510348583877996
6,coex_HRV,24,18,-0.4434523809523807
7,coex_MSG,32,31,-0.4000176011264722
8,coex_ADV,16,23,-0.4184782608695654
9,coex_EMS,16,21,-0.25921010296010305
10,coex_SMU,21,23,-0.8829757199322417
11,coex_ARG,15,20,-0.6544117647058822
12,coex_TST,30,32,-0.6449932795698923
13,coex_PIT,34,30,-0.422969690749863
14,coex_LVR,40,40,-0.5374999999999999
15,coex_THY,19,23,-0.19494690162212658
16,coex_PNC,27,30,-0.7923304429656519
17,coex_ATC,24,26,-0.3207692307692309
18,coex_BRO,27,24,-0.15420289855072467
19,coex_SKN,24,26,-0.37228260869565233
20,coex_ADS,26,24,-1.3274358974358977
21,coex_GEJ,16,24,-0.9220317725752507
22,coex_BRB,21,12,-0.3003246753246753
23,coex_UTR,13,17,-0.2247181697612728
24,coex_STM,31,30,-0.737220165697162
25,coex_HRA,16,23,-0.8599846711259758
26,coex_PRS,19,26,-0.79804318488529
27,coex_ATA,25,25,-0.9873299319727891
28,coex_FIB,12,19,-0.6505376344086025
29,coex_BRC,19,23,-0.29259540203057544
30,coex_ATT,27,28,-0.8888888888888888
31,coex_TNV,22,16,-0.7809523809523813
32,coex_SPL,35,37,-0.5639021374315492
33,coex_LCL,12,22,-0.590909090909091
34,coex_CLS,25,27,-0.4368778280542984
35,coex_EMC,24,30,-0.5352088948787062
36,coex_CLT,26,30,-0.1942424242424241
37,coex_core,30,29,-0.4685960591133005
38,coex_WBL,24,32,-0.6414772727272726
39,co-essential,1,8,
40,GOBP,23,31,-0.4956464075654481
41,ppi,50,50,-0.2999999999999998
42,reactome_copathway,31,22,-0.2572829131652663
43,MP,17,12,0.9626473063973062
44,HP,39,33,-0.3666472416472415
45,GI_net,10,17,-0.7118736383442266
46,gene_gene_on_CbG_name_mapped,23,22,-0.49003074220465526
47,gene_gene_on_GcG_name_mapped,32,36,-0.8409926470588236
48,GOMF,5,9,
