,Layer,Keloid nodes,Disorder_of_orbital_region nodes,sAB
0,coex_KDN,42,33,0.03385281385281358
1,coex_BST,25,27,0.0030618401206634616
2,coex_OVR,32,20,0.08076923076923093
3,coex_LNG,35,29,0.28656419590791105
4,coex_ITI,36,29,-0.02626731506041846
5,coex_VGN,41,25,0.21983870967741925
6,coex_HRV,26,9,0.04928104575163417
7,coex_MSG,37,29,0.30406111440594197
8,coex_ADV,29,19,0.010469487672669864
9,coex_EMS,30,19,0.3898671231760007
10,coex_SMU,30,21,0.25467980295566495
11,coex_ARG,30,20,0.43928571428571406
12,coex_TST,31,31,0.08064516129032251
13,coex_PIT,34,30,0.15226715686274517
14,coex_LVR,40,18,0.19309491677912738
15,coex_THY,30,20,0.05333333333333323
16,coex_PNC,32,19,0.32400702216370414
17,coex_ATC,27,21,0.0552248677248679
18,coex_BRO,31,30,0.4349462365591399
19,coex_SKN,37,20,0.02489801121876578
20,coex_ADS,31,20,0.19592529711375217
21,coex_GEJ,33,17,-0.08051647220315683
22,coex_BRB,22,22,0.5395902547065341
23,coex_UTR,27,20,0.3866666666666667
24,coex_STM,37,21,0.05341055341055334
25,coex_HRA,30,18,0.25224292615596955
26,coex_PRS,32,28,-0.1004394224733205
27,coex_ATA,33,19,0.2835848362164155
28,coex_FIB,27,19,0.10940170940170924
29,coex_BRC,29,31,0.45259900023431987
30,coex_ATT,36,20,0.3482905982905984
31,coex_TNV,25,17,0.8166666666666667
32,coex_SPL,38,21,0.1573956442831217
33,coex_LCL,18,16,-0.03856058552453234
34,coex_CLS,34,25,0.18377976190476186
35,coex_EMC,33,21,-0.1030154986522911
36,coex_CLT,35,27,0.13944193061840116
37,coex_core,44,24,0.3234123748328386
38,coex_WBL,35,22,0.354157452454666
39,co-essential,7,8,-0.47069597069597036
40,GOBP,19,26,1.0444819819819822
41,ppi,49,50,0.1229911358482787
42,reactome_copathway,29,18,-0.13951093951093974
43,MP,15,24,2.016760651629072
44,HP,30,49,0.6830922242314648
45,GI_net,21,17,-0.02380952380952417
46,gene_gene_on_CbG_name_mapped,7,10,0.27689075630252113
47,gene_gene_on_GcG_name_mapped,32,37,-0.09674892283587933
48,GOMF,6,4,
