,Layer,Kidney_failure nodes,Intermittent_claudication nodes,sAB
0,coex_KDN,47,41,0.02717365664952598
1,coex_BST,26,28,0.23385444743935313
2,coex_OVR,28,30,-0.2426518883415436
3,coex_LNG,29,36,0.19293398172708542
4,coex_ITI,32,36,-0.21865136682180486
5,coex_VGN,31,30,-0.10169491525423724
6,coex_HRV,14,20,-0.15466200466200464
7,coex_MSG,34,35,-0.07556326878577524
8,coex_ADV,25,28,0.21228213507625293
9,coex_EMS,27,30,-0.023294346978557368
10,coex_SMU,22,30,-0.24230769230769234
11,coex_ARG,27,31,-0.23131868131868139
12,coex_TST,37,34,-0.04035580734006605
13,coex_PIT,32,32,0.109375
14,coex_LVR,30,41,-0.06490324058170183
15,coex_THY,26,31,0.20205911801837084
16,coex_PNC,27,34,-0.10852187028657623
17,coex_ATC,31,33,0.017580034213098727
18,coex_BRO,28,33,-0.17946127946127932
19,coex_SKN,29,33,-0.012946428571428692
20,coex_ADS,21,29,0.13403119868637114
21,coex_GEJ,27,28,-0.08020211793796683
22,coex_BRB,19,20,-0.5882352941176472
23,coex_UTR,25,26,-0.0047360482654599245
24,coex_STM,30,34,-0.03388480392156845
25,coex_HRA,25,30,-0.1915197956577266
26,coex_PRS,25,31,-0.4171065493646142
27,coex_ATA,27,31,0.2023647674370701
28,coex_FIB,25,32,-0.059387379739671786
29,coex_BRC,28,36,-0.12142857142857144
30,coex_ATT,26,31,-0.11410256410256414
31,coex_TNV,16,15,-0.1261904761904762
32,coex_SPL,30,38,-0.1756965944272446
33,coex_LCL,17,27,-0.1337412587412583
34,coex_CLS,34,31,-0.06641366223908918
35,coex_EMC,28,31,-0.2017495899398578
36,coex_CLT,34,34,-0.1477272727272727
37,coex_core,31,35,-0.27196885428253625
38,coex_WBL,23,35,-0.0004497751124437066
39,co-essential,5,11,-0.5761363636363637
40,GOBP,13,14,0.7409420289855069
41,ppi,50,50,-0.09000000000000008
42,reactome_copathway,12,25,-0.1976470588235295
43,MP,16,18,0.16033496732026142
44,HP,47,29,0.19054330617446036
45,GI_net,13,26,0.33344129554655844
46,gene_gene_on_CbG_name_mapped,8,17,-0.03514705882352942
47,gene_gene_on_GcG_name_mapped,32,37,-0.19192494124559367
48,GOMF,1,6,
