,Layer,Leukemia nodes,Diabetes_mellitus_type_1 nodes,sAB
0,coex_KDN,46,35,0.21017176596886733
1,coex_BST,35,18,0.06999101527403395
2,coex_OVR,35,19,0.04164420485175224
3,coex_LNG,40,24,0.1343749999999999
4,coex_ITI,42,31,0.16062222502788126
5,coex_VGN,40,26,-0.08974358974358942
6,coex_HRV,16,17,-0.20799910873440242
7,coex_MSG,41,28,0.11648487602888458
8,coex_ADV,30,17,-0.14113475177304924
9,coex_EMS,32,21,-0.09873371518418672
10,coex_SMU,34,20,-0.06666666666666643
11,coex_ARG,31,17,0.24893617021276615
12,coex_TST,45,23,0.10194657573174215
13,coex_PIT,37,22,0.17185482863448964
14,coex_LVR,38,28,0.08669400774663916
15,coex_THY,34,24,0.10227272727272707
16,coex_PNC,30,27,0.4385964912280702
17,coex_ATC,36,24,0.28164489183979446
18,coex_BRO,34,28,0.2514570344266738
19,coex_SKN,39,20,-0.04945553539019931
20,coex_ADS,30,24,0.20558608058608074
21,coex_GEJ,37,20,0.04166666666666652
22,coex_BRB,22,24,0.26699604743083016
23,coex_UTR,34,15,-0.15388655462184886
24,coex_STM,42,29,0.2132796780684103
25,coex_HRA,35,20,-0.16541353383458635
26,coex_PRS,36,20,-0.013492063492063444
27,coex_ATA,33,27,0.05433521220159143
28,coex_FIB,38,15,-0.03469225528049047
29,coex_BRC,39,24,0.17688242344992933
30,coex_ATT,35,22,0.34642857142857153
31,coex_TNV,18,19,0.031138591800356608
32,coex_SPL,39,26,0.05225202429149789
33,coex_LCL,35,15,0.07166866746698664
34,coex_CLS,40,27,0.021911421911422035
35,coex_EMC,36,18,0.17592592592592604
36,coex_CLT,41,25,0.2868736141906876
37,coex_core,42,31,0.34365079365079376
38,coex_WBL,37,26,0.3046563046563049
39,co-essential,22,4,-0.09047619047619104
40,GOBP,8,12,0.7481962481962485
41,ppi,50,50,0.1499999999999999
42,reactome_copathway,32,20,0.3760962403721497
43,MP,12,14,0.8204874835309619
44,HP,31,33,0.6226551226551225
45,GI_net,36,17,0.33947649572649574
46,gene_gene_on_CbG_name_mapped,17,13,0.2633484162895927
47,gene_gene_on_GcG_name_mapped,35,33,-0.002317290552584561
48,GOMF,3,8,
