,Layer,Menorrhagia nodes,Abdominal_pain nodes,sAB
0,coex_KDN,33,26,-0.12140966378254547
1,coex_BST,22,16,-0.19978354978354984
2,coex_OVR,21,17,-0.3559523809523806
3,coex_LNG,28,18,0.027605244996549594
4,coex_ITI,25,21,-0.12455486542443062
5,coex_VGN,27,17,-0.2557437116260646
6,coex_HRV,15,11,-0.12777777777777777
7,coex_MSG,29,21,-0.266568144499179
8,coex_ADV,18,18,-0.34129901960784315
9,coex_EMS,16,16,-0.125
10,coex_SMU,22,13,0.05379620379620409
11,coex_ARG,18,16,-0.18096405228758172
12,coex_TST,32,18,-0.2073611111111111
13,coex_PIT,30,19,-0.05952380952380931
14,coex_LVR,36,20,-0.23187134502923978
15,coex_THY,19,15,-0.23477812177502555
16,coex_PNC,24,18,-0.17460317460317487
17,coex_ATC,22,16,-0.16477272727272751
18,coex_BRO,24,15,0.019551282051282204
19,coex_SKN,23,16,-0.21362876254180607
20,coex_ADS,17,13,0.42689317106152824
21,coex_GEJ,19,13,-0.20904074702886222
22,coex_BRB,18,8,-0.2799145299145298
23,coex_UTR,16,13,-0.12648809523809534
24,coex_STM,28,18,-0.20988612836438936
25,coex_HRA,22,14,-0.09546593757120059
26,coex_PRS,21,12,-0.40097402597402576
27,coex_ATA,21,17,-0.47977941176470607
28,coex_FIB,16,13,-0.23809523809523836
29,coex_BRC,22,15,-0.4031746031746031
30,coex_ATT,25,15,-0.060966810966811114
31,coex_TNV,15,8,0.11607142857142883
32,coex_SPL,32,23,-0.10281905594405583
33,coex_LCL,16,11,-0.004734848484848175
34,coex_CLS,19,20,-0.23164642375168665
35,coex_EMC,26,19,-0.33556149732620355
36,coex_CLT,24,21,-0.11212121212121207
37,coex_core,27,19,-0.09644303065355708
38,coex_WBL,33,17,-0.11577130852340956
39,co-essential,7,7,0.9902597402597397
40,GOBP,26,25,1.0237681159420293
41,ppi,50,43,0.08382095523880984
42,reactome_copathway,29,18,1.192775974025974
43,MP,14,15,0.7499999999999996
44,HP,46,42,0.22581404103143243
45,GI_net,16,17,-0.06485215053763449
46,gene_gene_on_CbG_name_mapped,16,9,0.2898611111111111
47,gene_gene_on_GcG_name_mapped,29,29,-0.1724137931034484
48,GOMF,4,9,
