,Layer,Migraine nodes,Rheumatoid_arthritis nodes,sAB
0,coex_KDN,27,30,-0.04746588693957121
1,coex_BST,21,13,0.30136639676113397
2,coex_OVR,21,15,0.15396825396825387
3,coex_LNG,23,25,-0.2023550724637686
4,coex_ITI,22,27,0.16417577131862848
5,coex_VGN,23,22,0.31747600225861117
6,coex_HRV,13,16,-0.027602785145888653
7,coex_MSG,24,20,0.19431818181818183
8,coex_ADV,18,17,0.1717728758169934
9,coex_EMS,20,14,-0.27563025210084025
10,coex_SMU,18,17,0.014501633986928386
11,coex_ARG,19,14,0.07638888888888884
12,coex_TST,24,19,0.2523714810281519
13,coex_PIT,24,19,-0.11857405140758881
14,coex_LVR,25,22,0.05147001934235984
15,coex_THY,19,21,0.1780075187969925
16,coex_PNC,18,18,0.24999999999999956
17,coex_ATC,23,21,-0.18020728008088982
18,coex_BRO,24,21,0.19166666666666687
19,coex_SKN,21,18,0.08119658119658135
20,coex_ADS,19,21,-0.125
21,coex_GEJ,18,17,-0.23529411764705888
22,coex_BRB,19,16,-0.0688316993464051
23,coex_UTR,18,15,0.1106925528832221
24,coex_STM,25,18,0.1285271317829455
25,coex_HRA,16,15,-0.2883928571428571
26,coex_PRS,17,17,0.20588235294117663
27,coex_ATA,20,22,-0.20313852813852806
28,coex_FIB,14,13,-0.33658933658933643
29,coex_BRC,21,13,-0.02262443438914019
30,coex_ATT,21,20,0.07781649245063837
31,coex_TNV,12,13,0.009999999999999787
32,coex_SPL,20,31,-0.020000000000000018
33,coex_LCL,7,15,0.23809523809523814
34,coex_CLS,24,19,0.4484126984126986
35,coex_EMC,24,19,0.118701550387597
36,coex_CLT,25,20,0.2958741330069361
37,coex_core,24,25,0.22916666666666696
38,coex_WBL,18,33,0.3200967887154862
39,co-essential,7,8,0.21011904761904754
40,GOBP,20,10,0.7475961538461537
41,ppi,42,50,0.10200828157349906
42,reactome_copathway,25,20,1.450530395756834
43,MP,12,16,0.9510389610389609
44,HP,37,24,0.4527777777777777
45,GI_net,19,10,-0.4031746031746035
46,gene_gene_on_CbG_name_mapped,9,9,0.38888888888888884
47,gene_gene_on_GcG_name_mapped,25,32,-0.1595833333333332
48,GOMF,7,5,-0.10000000000000009
