,Layer,Myopathy nodes,West_syndrome nodes,sAB
0,coex_KDN,23,40,0.23605072463768106
1,coex_BST,16,30,-0.10880398671096358
2,coex_OVR,15,29,-0.17821316614420057
3,coex_LNG,17,32,-0.006152460984393926
4,coex_ITI,22,35,0.03160173160173163
5,coex_VGN,16,34,0.34945978391356514
6,coex_HRV,16,19,0.5678571428571431
7,coex_MSG,31,33,0.45245295698924726
8,coex_ADV,15,28,-0.005952380952380931
9,coex_EMS,21,33,0.5227272727272725
10,coex_SMU,25,32,0.1812390350877191
11,coex_ARG,14,34,0.09418767507002768
12,coex_TST,22,40,-0.17027126099706758
13,coex_PIT,19,42,0.05682238382842342
14,coex_LVR,16,31,-0.023067076292882627
15,coex_THY,14,30,0.11959706959706962
16,coex_PNC,14,33,0.37564609303739793
17,coex_ATC,20,31,0.37658127767235916
18,coex_BRO,20,40,0.4195023902651025
19,coex_SKN,15,35,0.12490996398559417
20,coex_ADS,9,21,0.3142857142857145
21,coex_GEJ,18,31,0.2454648526077099
22,coex_BRB,13,21,0.9208144796380089
23,coex_UTR,14,26,0.03205128205128194
24,coex_STM,19,33,0.16375291375291345
25,coex_HRA,18,32,0.05535339135654249
26,coex_PRS,28,28,0.6730759980759982
27,coex_ATA,15,31,0.3163082437275988
28,coex_FIB,13,28,-0.026098901098901006
29,coex_BRC,18,41,0.5498737373737375
30,coex_ATT,21,32,0.12740628166160084
31,coex_TNV,17,18,0.4211484593837538
32,coex_SPL,17,33,-0.05336898395721956
33,coex_LCL,10,21,-0.1984126984126986
34,coex_CLS,21,34,0.006753812636165701
35,coex_EMC,19,30,0.13405797101449268
36,coex_CLT,20,34,0.17832244008714615
37,coex_core,24,33,0.28239633173843703
38,coex_WBL,23,28,0.9448701298701299
39,co-essential,6,8,0.03571428571428559
40,GOBP,25,19,0.3129877369007805
41,ppi,39,50,0.19940939210602138
42,reactome_copathway,21,21,2.438888888888889
43,MP,14,6,0.15328054298642524
44,HP,32,38,0.5668233082706768
45,GI_net,15,21,0.04603174603174631
46,gene_gene_on_CbG_name_mapped,17,14,0.2802249932230958
47,gene_gene_on_GcG_name_mapped,28,30,0.04601806239737294
48,GOMF,8,4,
