,Layer,Neoplasm_of_esophagus nodes,Macular_degeneration nodes,sAB
0,coex_KDN,36,31,0.030861611506773023
1,coex_BST,20,19,-0.33215249662618085
2,coex_OVR,29,26,-0.10279304029304015
3,coex_LNG,31,27,0.12715774729122886
4,coex_ITI,35,33,-0.11872930990578046
5,coex_VGN,28,29,-0.03571428571428581
6,coex_HRV,17,15,-0.26764705882352935
7,coex_MSG,36,31,-0.13145295030225235
8,coex_ADV,21,23,-0.1969226425748163
9,coex_EMS,25,24,-0.10416666666666696
10,coex_SMU,21,23,-0.045454545454545414
11,coex_ARG,27,23,-0.38783365570599604
12,coex_TST,32,34,-0.24181149732620333
13,coex_PIT,29,29,-0.13793103448275867
14,coex_LVR,28,29,-0.1436781609195401
15,coex_THY,24,22,-0.11746031746031749
16,coex_PNC,25,25,-0.18641156462585018
17,coex_ATC,26,26,-0.15965309200603306
18,coex_BRO,31,28,-0.27217484447740303
19,coex_SKN,25,29,-0.23006385696040876
20,coex_ADS,22,24,-0.39598155467720675
21,coex_GEJ,20,23,-0.081453634085213
22,coex_BRB,27,19,-0.17984574963980027
23,coex_UTR,18,19,-0.06551288130235511
24,coex_STM,31,24,-0.07765151515151536
25,coex_HRA,22,26,-0.0272533849129597
26,coex_PRS,24,25,-0.14583333333333348
27,coex_ATA,24,22,-0.0679622310057093
28,coex_FIB,25,22,-0.1961352657004829
29,coex_BRC,25,28,0.08136752136752157
30,coex_ATT,23,24,-0.34112318840579725
31,coex_TNV,19,15,-0.35634540897698797
32,coex_SPL,23,27,-0.20573268921095034
33,coex_LCL,12,15,-0.12454212454212432
34,coex_CLS,30,29,-0.14053092501368347
35,coex_EMC,29,26,-0.15632987701953205
36,coex_CLT,31,31,-0.032416710735060805
37,coex_core,34,32,-0.0009379509379505713
38,coex_WBL,32,26,-0.29515669515669485
39,co-essential,9,7,0.1708333333333334
40,GOBP,16,20,0.8292004048582999
41,ppi,49,49,0.14285714285714302
42,reactome_copathway,24,6,0.3630952380952377
43,MP,11,24,0.6363636363636362
44,HP,17,43,0.9243046055631556
45,GI_net,28,15,0.3219269102990032
46,gene_gene_on_CbG_name_mapped,18,9,-0.2685185185185184
47,gene_gene_on_GcG_name_mapped,25,33,-0.11187042842215278
48,GOMF,5,7,
