,Layer,Optic_neuritis nodes,Pleural_effusion nodes,sAB
0,coex_KDN,36,32,-0.03441584967320255
1,coex_BST,25,29,0.1827922077922075
2,coex_OVR,26,24,-0.16814102564102562
3,coex_LNG,32,24,0.05580357142857162
4,coex_ITI,31,30,0.030389564604265784
5,coex_VGN,30,24,0.017592592592592604
6,coex_HRV,12,15,-0.0981481481481481
7,coex_MSG,33,29,-0.03837597330367082
8,coex_ADV,25,33,0.09481774264382992
9,coex_EMS,26,32,0.2301595744680851
10,coex_SMU,27,20,-0.042553191489361764
11,coex_ARG,25,22,-0.09276595744680849
12,coex_TST,28,26,0.006868131868131844
13,coex_PIT,29,27,-0.0370370370370372
14,coex_LVR,33,27,-0.33265993265993243
15,coex_THY,27,20,0.01769109535067015
16,coex_PNC,28,30,0.03288177339901477
17,coex_ATC,30,24,-0.19583333333333353
18,coex_BRO,29,26,0.03777628032345026
19,coex_SKN,27,24,0.15858974358974365
20,coex_ADS,18,32,1.2277448613854145
21,coex_GEJ,26,21,0.16166666666666663
22,coex_BRB,17,17,-0.15625
23,coex_UTR,23,20,-0.25461293743372204
24,coex_STM,29,26,-0.10771642150952498
25,coex_HRA,26,23,-0.24250904375128002
26,coex_PRS,26,22,-0.16069347319347327
27,coex_ATA,25,33,0.26429521276595747
28,coex_FIB,26,14,-0.025824175824175954
29,coex_BRC,30,22,-0.05793226381461691
30,coex_ATT,25,31,0.11483169705469853
31,coex_TNV,15,22,0.633164983164983
32,coex_SPL,34,28,-0.1405462184873949
33,coex_LCL,25,15,-0.14111226611226613
34,coex_CLS,28,25,-0.10219373219373207
35,coex_EMC,30,25,0.12534591194968536
36,coex_CLT,32,26,-0.09677631578947365
37,coex_core,36,38,-0.032460248983113615
38,coex_WBL,33,21,-0.18638768638768632
39,co-essential,11,8,-0.9388888888888887
40,GOBP,18,21,0.90625
41,ppi,49,48,-0.07137816466792923
42,reactome_copathway,24,21,-0.19201474201474178
43,MP,14,11,0.1737012987012987
44,HP,27,33,-0.0306397306397308
45,GI_net,21,18,-0.537179487179487
46,gene_gene_on_CbG_name_mapped,8,7,-0.35357142857142865
47,gene_gene_on_GcG_name_mapped,38,28,-0.184609250398724
48,GOMF,7,9,-0.6666666666666667
