,Layer,Peripheral_vascular_disease nodes,Cardiomyopathy nodes,sAB
0,coex_KDN,33,31,0.05823863636363624
1,coex_BST,16,14,-0.4113095238095239
2,coex_OVR,21,17,-0.5596979332273446
3,coex_LNG,25,22,0.36364389233954464
4,coex_ITI,27,25,-0.044798474945533684
5,coex_VGN,22,22,-0.14388905667975416
6,coex_HRV,14,25,0.3153036437246963
7,coex_MSG,31,30,0.1497796580292614
8,coex_ADV,21,16,-0.022619047619047983
9,coex_EMS,18,19,-0.05555555555555536
10,coex_SMU,17,15,0.19338235294117645
11,coex_ARG,18,14,-0.007692307692308109
12,coex_TST,23,28,-0.060257648953301324
13,coex_PIT,25,20,-0.1946969696969698
14,coex_LVR,36,19,-0.13157894736842124
15,coex_THY,20,16,0.21666666666666679
16,coex_PNC,26,17,-0.1581868883510471
17,coex_ATC,22,29,0.31623025385702874
18,coex_BRO,18,24,0.1438492063492065
19,coex_SKN,23,22,0.16372193697775073
20,coex_ADS,20,23,-0.13348588863462973
21,coex_GEJ,20,20,-0.23684210526315796
22,coex_BRB,14,19,-0.031727044884939826
23,coex_UTR,9,9,-0.11111111111111072
24,coex_STM,24,25,0.0012074829931973952
25,coex_HRA,21,26,0.0230481283422459
26,coex_PRS,19,20,0.023905484431800517
27,coex_ATA,28,18,-0.007958656330749658
28,coex_FIB,17,12,-0.027119938884645034
29,coex_BRC,19,18,0.22222222222222232
30,coex_ATT,22,23,0.07045454545454533
31,coex_TNV,17,22,-0.1669823232323231
32,coex_SPL,29,17,0.021165887644413406
33,coex_LCL,14,11,0.3787545787545783
34,coex_CLS,24,19,0.015277964732804072
35,coex_EMC,21,19,-0.0778002699055329
36,coex_CLT,21,21,-0.050000000000000044
37,coex_core,29,29,0.158119658119658
38,coex_WBL,24,25,0.34782608695652173
39,co-essential,8,4,0.15584415584415545
40,GOBP,12,16,1.8916666666666666
41,ppi,50,48,0.08076530612244892
42,reactome_copathway,21,21,0.15104588394062057
43,MP,15,19,0.5694444444444446
44,HP,28,34,0.43416237462727025
45,GI_net,14,17,0.017194570135746545
46,gene_gene_on_CbG_name_mapped,23,14,-0.04645794863186148
47,gene_gene_on_GcG_name_mapped,29,24,-0.05373021036651493
48,GOMF,2,2,
