,Layer,Peripheral_vascular_disease nodes,Kidney_failure nodes,sAB
0,coex_KDN,33,47,0.03476789168278538
1,coex_BST,16,26,0.1895731707317072
2,coex_OVR,21,28,-0.12857142857142856
3,coex_LNG,25,29,0.32457215836526165
4,coex_ITI,27,32,-0.13727186585918516
5,coex_VGN,22,31,-0.09943977591036424
6,coex_HRV,14,14,0.038461538461538325
7,coex_MSG,31,34,-0.02698146256021028
8,coex_ADV,21,25,0.2753787878787879
9,coex_EMS,18,27,0.06296296296296289
10,coex_SMU,17,22,-0.26206636500754144
11,coex_ARG,18,27,-0.040900562851782674
12,coex_TST,23,37,-0.012730121425773788
13,coex_PIT,25,32,-0.0007440476190476719
14,coex_LVR,36,30,-0.13030303030303036
15,coex_THY,20,26,0.12784280936454806
16,coex_PNC,26,27,-0.15384615384615374
17,coex_ATC,22,31,-0.10796492004647806
18,coex_BRO,18,28,0.1407407407407404
19,coex_SKN,23,29,0.09233766233766216
20,coex_ADS,20,21,0.08602756892230579
21,coex_GEJ,20,27,-0.16104363472784566
22,coex_BRB,14,19,-0.024329086473299455
23,coex_UTR,9,25,-0.2538562091503267
24,coex_STM,24,30,0.2365740740740745
25,coex_HRA,21,25,-0.3524929971988797
26,coex_PRS,19,25,-0.17063492063492047
27,coex_ATA,28,27,-0.11849002849002854
28,coex_FIB,17,25,0.0984277857484459
29,coex_BRC,19,28,0.23585231193926814
30,coex_ATT,22,26,-0.03185618729097017
31,coex_TNV,17,16,0.3367097701149424
32,coex_SPL,29,30,-0.17036820572764477
33,coex_LCL,14,17,-0.09770471464019836
34,coex_CLS,24,34,0.06045105789351313
35,coex_EMC,21,28,0.016666666666666607
36,coex_CLT,21,34,-0.023076923076923217
37,coex_core,29,31,-0.03959131545338468
38,coex_WBL,24,23,0.4130434782608696
39,co-essential,8,5,-1.554761904761905
40,GOBP,12,13,0.6964285714285716
41,ppi,50,50,-0.010000000000000231
42,reactome_copathway,21,12,-0.09224137931034493
43,MP,15,16,0.1312500000000001
44,HP,28,47,0.3011296859169199
45,GI_net,14,13,0.11538461538461542
46,gene_gene_on_CbG_name_mapped,23,8,-0.11632187938288929
47,gene_gene_on_GcG_name_mapped,29,32,-0.1830041690220463
48,GOMF,2,1,
