,Layer,Peritonitis nodes,Cellulitis nodes,sAB
0,coex_KDN,37,42,-0.17308945473502435
1,coex_BST,26,22,-0.4920634920634921
2,coex_OVR,25,36,-0.36761904761904773
3,coex_LNG,33,37,-0.3029921059332825
4,coex_ITI,31,41,-0.07380952380952377
5,coex_VGN,29,40,-0.2592968221771468
6,coex_HRV,20,28,-0.6607142857142856
7,coex_MSG,32,43,-0.31503391472868225
8,coex_ADV,22,33,-0.3302819865319866
9,coex_EMS,30,33,-0.6232851316277348
10,coex_SMU,22,32,-0.506891835016835
11,coex_ARG,25,28,-0.1857008086253371
12,coex_TST,32,37,-0.22498041519780632
13,coex_PIT,31,38,-0.12564499484004132
14,coex_LVR,33,36,-0.11736694677871151
15,coex_THY,32,35,-0.31006130063965864
16,coex_PNC,27,32,-0.3636809478970495
17,coex_ATC,29,37,-0.14364991951198847
18,coex_BRO,31,37,-0.3079494998127641
19,coex_SKN,32,36,-0.28676470588235303
20,coex_ADS,25,34,-0.3272681954137586
21,coex_GEJ,26,35,-0.5142857142857142
22,coex_BRB,25,31,-0.4027272727272726
23,coex_UTR,21,24,-0.4409090909090909
24,coex_STM,32,37,-0.22048203094398744
25,coex_HRA,24,29,-0.3679794718025604
26,coex_PRS,28,34,-0.3187229437229435
27,coex_ATA,27,29,-0.34168035030103994
28,coex_FIB,20,19,-0.2853576248313088
29,coex_BRC,25,30,-0.4354545454545453
30,coex_ATT,27,34,-0.049849170437405554
31,coex_TNV,17,27,-0.8064032410817634
32,coex_SPL,36,37,-0.2863548479986837
33,coex_LCL,18,22,-0.3076023391812863
34,coex_CLS,29,33,-0.20954258940910786
35,coex_EMC,33,39,-0.05005191404839304
36,coex_CLT,34,39,-0.42441792441792425
37,coex_core,34,44,-0.03605207521976195
38,coex_WBL,32,34,-0.013981729055258407
39,co-essential,8,7,0.05975274725274726
40,GOBP,13,13,0.8268398268398274
41,ppi,50,50,0.020000000000000018
42,reactome_copathway,29,28,0.21369047619047632
43,MP,10,8,0.49999999999999956
44,HP,38,43,-0.007793493207609803
45,GI_net,29,24,-0.37749999999999995
46,gene_gene_on_CbG_name_mapped,16,9,-0.03388888888888886
47,gene_gene_on_GcG_name_mapped,30,28,-0.25792282430213453
48,GOMF,5,4,
