,Layer,Peritonitis nodes,Cholangitis nodes,sAB
0,coex_KDN,37,38,-0.5135135135135134
1,coex_BST,26,20,-0.43976608187134514
2,coex_OVR,25,25,-0.23999999999999977
3,coex_LNG,33,29,-0.40237562983464636
4,coex_ITI,31,36,-0.345959595959596
5,coex_VGN,29,27,-0.2126892902754971
6,coex_HRV,20,22,-0.5611471861471862
7,coex_MSG,32,32,-0.359375
8,coex_ADV,22,25,-0.3794466403162058
9,coex_EMS,30,22,-0.890773020083365
10,coex_SMU,22,26,-0.46547388781431365
11,coex_ARG,25,21,-0.46886128364389235
12,coex_TST,32,31,-0.3332693292370712
13,coex_PIT,31,29,-0.13499025341130588
14,coex_LVR,33,30,-0.288888888888889
15,coex_THY,32,26,-0.433935676392573
16,coex_PNC,27,26,-0.27662205020695585
17,coex_ATC,29,25,-0.390438625027109
18,coex_BRO,31,26,-0.3615210482782638
19,coex_SKN,32,26,-0.4709649122807018
20,coex_ADS,25,27,-0.4543740573152335
21,coex_GEJ,26,28,-0.8407407407407408
22,coex_BRB,25,22,-0.6631721470019347
23,coex_UTR,21,17,-0.7347376788553257
24,coex_STM,32,31,-0.28316212237583227
25,coex_HRA,24,23,-0.1956521739130439
26,coex_PRS,28,25,-0.527930402930403
27,coex_ATA,27,21,-0.4841269841269846
28,coex_FIB,20,18,-0.03823529411764692
29,coex_BRC,25,28,-0.6667806267806269
30,coex_ATT,27,22,-0.33812709030100363
31,coex_TNV,17,17,-0.7647058823529411
32,coex_SPL,36,33,-0.6163812033377252
33,coex_LCL,18,14,-0.0828373015873014
34,coex_CLS,29,31,-0.3717416715371127
35,coex_EMC,33,24,-0.6532738095238098
36,coex_CLT,34,30,-0.5219821162444112
37,coex_core,34,35,-0.20909489983238871
38,coex_WBL,32,26,-0.435328947368421
39,co-essential,8,9,-0.15416666666666679
40,GOBP,13,21,-0.039074960127591485
41,ppi,50,48,-0.36857993197278915
42,reactome_copathway,29,23,0.26596320346320357
43,MP,10,11,-0.9500000000000002
44,HP,38,33,-0.25400970415796187
45,GI_net,29,22,-0.6913265306122449
46,gene_gene_on_CbG_name_mapped,16,14,-0.2321428571428572
47,gene_gene_on_GcG_name_mapped,30,28,-0.48390804597701154
48,GOMF,5,4,
