,Layer,Postherpetic_neuralgia nodes,Myocardial_ischemia nodes,sAB
0,coex_KDN,34,40,-0.22302022302022295
1,coex_BST,15,19,0.27579365079365115
2,coex_OVR,19,24,-0.4289641943734015
3,coex_LNG,25,25,-0.14563829787234006
4,coex_ITI,28,29,-0.17264065335753176
5,coex_VGN,22,22,-0.3798701298701299
6,coex_HRV,24,19,-0.030753968253968367
7,coex_MSG,28,30,-0.08193760262725758
8,coex_ADV,25,15,0.03717948717948705
9,coex_EMS,18,9,-0.4629629629629628
10,coex_SMU,17,12,-0.11650114591291061
11,coex_ARG,14,10,0.27972027972028
12,coex_TST,26,28,-0.20932614555256057
13,coex_PIT,27,26,-0.28102564102564087
14,coex_LVR,32,28,-0.0953869047619047
15,coex_THY,15,18,0.03306878306878325
16,coex_PNC,22,14,-0.3253968253968256
17,coex_ATC,14,18,0.06349206349206327
18,coex_BRO,28,26,-0.1988679245283016
19,coex_SKN,16,13,-0.17985347985347966
20,coex_ADS,17,16,-0.5490753119429592
21,coex_GEJ,23,16,-0.5142857142857142
22,coex_BRB,21,22,-0.21492450638792082
23,coex_UTR,13,9,-0.3928571428571428
24,coex_STM,24,29,0.21927184992409465
25,coex_HRA,24,15,-0.42723285486443374
26,coex_PRS,23,17,-0.0568723804017921
27,coex_ATA,19,15,0.0901686033264979
28,coex_FIB,16,14,0.11755952380952372
29,coex_BRC,24,20,0.04711830131445893
30,coex_ATT,16,15,-0.5320197044334978
31,coex_TNV,20,18,-0.11900584795321656
32,coex_SPL,23,17,-0.4538520213577424
33,coex_LCL,11,13,-0.38534798534798487
34,coex_CLS,28,17,-0.27159468438538226
35,coex_EMC,17,17,-0.5066176470588237
36,coex_CLT,24,23,0.11104837191793693
37,coex_core,27,29,-0.08078808446455499
38,coex_WBL,18,27,-0.44522144522144513
39,co-essential,4,4,-0.375
40,GOBP,18,11,-0.36092032967032983
41,ppi,49,48,-0.16512816466792923
42,reactome_copathway,21,16,-0.27142857142857135
43,MP,9,15,1.2023809523809526
44,HP,28,11,-0.18235930735930728
45,GI_net,17,18,-0.6983065953654191
46,gene_gene_on_CbG_name_mapped,18,15,-0.17121212121212115
47,gene_gene_on_GcG_name_mapped,26,28,-0.3861925111925111
48,GOMF,4,5,
