,Layer,Primary_biliary_cholangitis nodes,Osteomyelitis nodes,sAB
0,coex_KDN,40,40,0.025000000000000133
1,coex_BST,23,22,-0.13862224731789974
2,coex_OVR,23,27,-0.1879735171660637
3,coex_LNG,30,35,0.18258928571428568
4,coex_ITI,40,38,0.02421024921024917
5,coex_VGN,29,32,0.27298850574712663
6,coex_HRV,19,20,-0.13080495356037147
7,coex_MSG,31,37,0.07302675810138504
8,coex_ADV,25,29,0.17565273966790151
9,coex_EMS,23,29,-0.1120113020412874
10,coex_SMU,23,24,0.023107462226333864
11,coex_ARG,19,26,0.10904306220095705
12,coex_TST,32,30,-0.09435483870967754
13,coex_PIT,26,33,0.03299441786283874
14,coex_LVR,26,32,-0.033736737400530625
15,coex_THY,31,27,-0.08420879166151707
16,coex_PNC,27,29,-0.07161101988688179
17,coex_ATC,24,37,0.2254602428515471
18,coex_BRO,25,30,0.037575757575757374
19,coex_SKN,25,29,-0.019843851659075984
20,coex_ADS,21,26,-0.004676174888940565
21,coex_GEJ,25,30,0.03792726278370262
22,coex_BRB,21,25,0.1356521739130434
23,coex_UTR,21,22,-0.04761904761904745
24,coex_STM,32,31,0.15950620839733753
25,coex_HRA,23,25,-0.15356151711378363
26,coex_PRS,27,25,0.01833333333333309
27,coex_ATA,18,27,0.12407407407407423
28,coex_FIB,24,20,-0.02196969696969675
29,coex_BRC,25,24,0.020833333333333037
30,coex_ATT,24,26,0.28897344891133736
31,coex_TNV,17,17,-0.1237745098039218
32,coex_SPL,32,34,-0.09503119429590012
33,coex_LCL,20,20,0.05263157894736836
34,coex_CLS,34,33,-0.013299977385798245
35,coex_EMC,32,35,0.006101299080426337
36,coex_CLT,38,36,0.17999785499785492
37,coex_core,37,39,0.10155456208087799
38,coex_WBL,30,38,-0.06708291572988068
39,co-essential,4,9,-0.13461538461538458
40,GOBP,23,21,0.4009740259740262
41,ppi,50,50,0.040000000000000036
42,reactome_copathway,22,24,0.17438867438867445
43,MP,17,9,-0.06385118149824054
44,HP,35,42,0.3807359307359306
45,GI_net,25,21,0.03233063700707772
46,gene_gene_on_CbG_name_mapped,10,15,0.09666666666666668
47,gene_gene_on_GcG_name_mapped,32,28,0.04419642857142869
48,GOMF,8,6,
