,Layer,Primary_dilated_cardiomyopathy nodes,Blepharitis nodes,sAB
0,coex_KDN,33,39,-0.07609057609057612
1,coex_BST,23,34,0.2182009167303285
2,coex_OVR,27,39,-0.07666407666407649
3,coex_LNG,23,39,0.2909339374977522
4,coex_ITI,31,36,0.0694110094687852
5,coex_VGN,29,38,0.18033645120759467
6,coex_HRV,37,15,0.8983458248164133
7,coex_MSG,42,43,0.2689987622956158
8,coex_ADV,23,34,0.3854152645039708
9,coex_EMS,30,41,-0.01814516129032251
10,coex_SMU,32,37,0.4178111535448492
11,coex_ARG,23,35,-0.13617476975797826
12,coex_TST,34,42,-0.11225064350064362
13,coex_PIT,25,37,-0.03210113339145626
14,coex_LVR,21,38,-0.031551335967036076
15,coex_THY,27,26,0.27393559928443656
16,coex_PNC,14,38,-0.11784268363215711
17,coex_ATC,34,34,0.8088235294117647
18,coex_BRO,27,37,0.028190278190278306
19,coex_SKN,27,40,-0.014704256495301493
20,coex_ADS,22,25,0.6049846288976726
21,coex_GEJ,22,41,-0.025017265820944434
22,coex_BRB,18,19,-0.05286865813181629
23,coex_UTR,21,33,0.005531505531505498
24,coex_STM,31,36,0.3471954742416945
25,coex_HRA,39,31,0.41409665603213996
26,coex_PRS,39,40,0.17611165206101909
27,coex_ATA,19,35,0.15828460038986325
28,coex_FIB,15,32,0.08749999999999991
29,coex_BRC,26,37,-0.1188524590163933
30,coex_ATT,26,37,0.06549708598888904
31,coex_TNV,21,18,0.0789473684210531
32,coex_SPL,25,37,0.24406277244986918
33,coex_LCL,17,32,-0.11913489736070382
34,coex_CLS,29,39,-0.05847600675186859
35,coex_EMC,23,39,-0.02709030100334453
36,coex_CLT,27,38,-0.11654456654456657
37,coex_core,35,42,0.5443262077408417
38,coex_WBL,29,36,0.7550982573229514
39,co-essential,9,15,-0.07418909592822631
40,GOBP,19,15,2.425
41,ppi,50,50,0.20999999999999996
42,reactome_copathway,18,29,0.4067538126361654
43,MP,20,9,2.198754789272031
44,HP,43,48,0.9220023090879101
45,GI_net,16,31,-0.4189922480620156
46,gene_gene_on_CbG_name_mapped,11,6,0.07174688057041001
47,gene_gene_on_GcG_name_mapped,31,32,0.0753888248847927
48,GOMF,1,6,
