,Layer,Pruritus nodes,Diarrhea nodes,sAB
0,coex_KDN,31,25,0.014545454545454417
1,coex_BST,17,11,-0.14056531703590514
2,coex_OVR,22,7,-0.5236229287953424
3,coex_LNG,24,14,-0.03822055137844593
4,coex_ITI,27,29,-0.11350574712643668
5,coex_VGN,28,9,-0.1329365079365079
6,coex_HRV,16,6,-0.822916666666667
7,coex_MSG,31,15,-0.07777777777777795
8,coex_ADV,12,11,-0.34420289855072417
9,coex_EMS,21,7,-0.13888888888888884
10,coex_SMU,18,8,-0.43696581196581175
11,coex_ARG,16,9,-0.13055555555555554
12,coex_TST,27,18,-0.14444444444444438
13,coex_PIT,19,10,-0.1328493647912885
14,coex_LVR,23,13,-0.202712746191007
15,coex_THY,25,16,0.0007926829268289914
16,coex_PNC,20,12,0.3895833333333334
17,coex_ATC,24,11,-0.42234848484848486
18,coex_BRO,21,14,-0.07142857142857162
19,coex_SKN,27,7,-0.1096403596403599
20,coex_ADS,26,5,-0.1166666666666667
21,coex_GEJ,20,13,0.01911421911421929
22,coex_BRB,16,7,0.07744565217391308
23,coex_UTR,10,6,0.10833333333333339
24,coex_STM,26,16,0.2480540293040292
25,coex_HRA,20,8,-0.5309454191033138
26,coex_PRS,23,6,-0.29372813593203384
27,coex_ATA,21,6,-0.30512820512820493
28,coex_FIB,12,7,-0.5463659147869673
29,coex_BRC,18,10,0.07619047619047636
30,coex_ATT,23,6,-0.2369565217391303
31,coex_TNV,25,12,-0.04857142857142849
32,coex_SPL,27,18,-0.44259259259259265
33,coex_LCL,17,10,-0.36794117647058844
34,coex_CLS,23,23,-0.04347826086956519
35,coex_EMC,29,15,-0.11071428571428577
36,coex_CLT,27,23,0.13752913752913742
37,coex_core,29,17,-0.027203065134099758
38,coex_WBL,23,16,-0.14189593301435388
39,co-essential,2,4,2.0
40,GOBP,15,22,0.02494172494172542
41,ppi,50,49,-0.05118532261389408
42,reactome_copathway,17,18,-0.08247126436781604
43,MP,21,18,0.3550051599587203
44,HP,44,44,0.20454545454545459
45,GI_net,22,15,-0.5642857142857141
46,gene_gene_on_CbG_name_mapped,15,12,-0.19259259259259265
47,gene_gene_on_GcG_name_mapped,28,30,-0.2773809523809523
48,GOMF,7,6,
