,Layer,Pulmonary_arterial_hypertension nodes,Pulmonary_hypertension nodes,sAB
0,coex_KDN,44,40,-1.0122294372294371
1,coex_BST,28,20,-1.2857142857142856
2,coex_OVR,37,29,-0.9986444124375159
3,coex_LNG,43,38,-1.243609022556391
4,coex_ITI,40,39,-0.7332968192145407
5,coex_VGN,39,30,-0.8384057971014491
6,coex_HRV,18,20,-0.8701596333175281
7,coex_MSG,37,34,-0.9344644976376542
8,coex_ADV,27,24,-1.4963235294117645
9,coex_EMS,30,21,-1.2901960784313726
10,coex_SMU,32,25,-1.2077192982456142
11,coex_ARG,33,25,-1.1794009216589862
12,coex_TST,41,35,-0.7927746194755182
13,coex_PIT,40,33,-1.0506993006993008
14,coex_LVR,38,31,-0.9360436505007258
15,coex_THY,36,26,-1.1859663633857183
16,coex_PNC,36,29,-0.9489979369289714
17,coex_ATC,33,26,-1.356763925729443
18,coex_BRO,35,31,-1.364418377321603
19,coex_SKN,35,28,-0.9063150708311999
20,coex_ADS,26,21,-1.2246512352895331
21,coex_GEJ,25,22,-1.390640830800405
22,coex_BRB,24,23,-1.1251349059512796
23,coex_UTR,27,20,-1.9057971014492756
24,coex_STM,36,32,-1.028390522875817
25,coex_HRA,27,22,-1.2468391396962828
26,coex_PRS,34,31,-1.1689950980392156
27,coex_ATA,30,26,-1.2758241758241755
28,coex_FIB,29,22,-1.2783821992746942
29,coex_BRC,39,35,-1.0901692901692903
30,coex_ATT,34,28,-1.4063770669558147
31,coex_TNV,22,22,-1.1363636363636365
32,coex_SPL,39,28,-1.179849379476245
33,coex_LCL,21,13,-1.2697552447552445
34,coex_CLS,35,33,-1.1703036053130926
35,coex_EMC,36,28,-1.134672619047619
36,coex_CLT,37,34,-1.0124890839472447
37,coex_core,44,36,-0.9765365448504982
38,coex_WBL,32,22,-1.1636679292929295
39,co-essential,11,8,-2.2619047619047623
40,GOBP,20,19,-3.136326109391125
41,ppi,49,49,-0.9387755102040817
42,reactome_copathway,20,18,-1.3770676691729322
43,MP,7,14,-1.9880952380952381
44,HP,49,36,-0.8464352407629718
45,GI_net,19,17,-1.7285714285714286
46,gene_gene_on_CbG_name_mapped,8,18,-0.7366452991452992
47,gene_gene_on_GcG_name_mapped,25,24,-0.7521428571428572
48,GOMF,4,5,
