,Layer,Pulmonary_edema nodes,Cardiomyopathy nodes,sAB
0,coex_KDN,32,31,-0.19122023809523814
1,coex_BST,20,14,-0.5758928571428572
2,coex_OVR,25,17,-0.4786554621848742
3,coex_LNG,26,22,-0.13048476346348714
4,coex_ITI,29,25,-0.3776973541531121
5,coex_VGN,25,22,0.005628626692456562
6,coex_HRV,23,25,-0.1374661508704058
7,coex_MSG,31,30,-0.19368940595804696
8,coex_ADV,24,16,-0.10861937452326487
9,coex_EMS,25,19,-0.1755050505050506
10,coex_SMU,23,15,-0.06613272311212803
11,coex_ARG,18,14,-0.47435897435897445
12,coex_TST,27,28,-0.22222222222222232
13,coex_PIT,28,20,-0.30833333333333335
14,coex_LVR,22,19,-0.24521531100478455
15,coex_THY,25,16,-0.46991869918699214
16,coex_PNC,21,17,0.09499205087440332
17,coex_ATC,28,29,-0.3502722323049001
18,coex_BRO,29,24,-0.17408100195185416
19,coex_SKN,24,22,-0.13571428571428568
20,coex_ADS,27,23,-0.4744605475040258
21,coex_GEJ,20,20,-0.10509446693657232
22,coex_BRB,24,19,-0.10602593440122043
23,coex_UTR,13,9,0.35742035742035716
24,coex_STM,29,25,-0.5576500638569606
25,coex_HRA,29,26,-0.046549865229110754
26,coex_PRS,22,20,-0.2053331777336913
27,coex_ATA,26,18,-0.2167958656330744
28,coex_FIB,15,12,-0.1158508158508158
29,coex_BRC,23,18,-0.1558560150818895
30,coex_ATT,23,23,-0.2006807202459382
31,coex_TNV,24,22,-0.62697628458498
32,coex_SPL,22,17,0.053221288515406195
33,coex_LCL,9,11,-0.3013071895424839
34,coex_CLS,25,19,-0.2333893557422968
35,coex_EMC,22,19,-0.32556307620492486
36,coex_CLT,26,21,-0.4377777777777776
37,coex_core,30,29,-0.35662768031189085
38,coex_WBL,19,25,-0.5363408521303259
39,co-essential,2,4,0.3333333333333335
40,GOBP,23,16,0.02777777777777768
41,ppi,43,48,-0.14804817275747495
42,reactome_copathway,22,21,-0.2894736842105261
43,MP,14,19,-0.16388888888888875
44,HP,26,34,-0.10218702865761697
45,GI_net,17,17,-0.2125111408199647
46,gene_gene_on_CbG_name_mapped,22,14,-0.33405483405483394
47,gene_gene_on_GcG_name_mapped,27,24,-0.1868191721132897
48,GOMF,11,2,
