,Layer,Pulmonary_fibrosis nodes,Hypersensitivity_pneumonitis nodes,sAB
0,coex_KDN,33,36,-0.11642156862745123
1,coex_BST,13,18,-0.0965683023872681
2,coex_OVR,19,26,0.12423500611995086
3,coex_LNG,25,27,-0.20182336182336158
4,coex_ITI,29,27,-0.16005291005291
5,coex_VGN,18,24,0.06886657101865135
6,coex_HRV,23,26,-0.0900856389986826
7,coex_MSG,27,32,-0.19811283741368468
8,coex_ADV,18,27,-0.4533730158730158
9,coex_EMS,16,27,-0.24152930402930428
10,coex_SMU,12,18,0.09444444444444455
11,coex_ARG,12,21,-0.3529491341991342
12,coex_TST,17,30,0.087526074259491
13,coex_PIT,23,29,-0.10079575596816981
14,coex_LVR,21,29,0.09345238095238106
15,coex_THY,20,24,0.42386363636363633
16,coex_PNC,22,26,0.10075435203094818
17,coex_ATC,18,25,-0.247916666666667
18,coex_BRO,19,27,0.47296381049241454
19,coex_SKN,15,26,-0.1900000000000004
20,coex_ADS,16,17,-0.21495098039215677
21,coex_GEJ,20,29,-0.17440476190476195
22,coex_BRB,18,20,-0.034649122807017596
23,coex_UTR,10,17,0.31121166415284085
24,coex_STM,24,29,-0.35073736716547366
25,coex_HRA,17,26,-0.0007366094917395927
26,coex_PRS,20,28,-0.08899059242308693
27,coex_ATA,16,29,0.1018272425249167
28,coex_FIB,14,24,-0.2947994987468672
29,coex_BRC,18,28,-0.411111111111111
30,coex_ATT,18,28,-0.21829268292682924
31,coex_TNV,10,21,-0.10372050816696898
32,coex_SPL,18,22,-0.14368686868686842
33,coex_LCL,9,18,-0.26888888888888873
34,coex_CLS,18,29,0.06099456099456102
35,coex_EMC,17,25,-0.09619047619047638
36,coex_CLT,25,27,0.05950435729847481
37,coex_core,30,32,-0.03645041885836742
38,coex_WBL,23,29,-0.2250000000000001
39,co-essential,8,7,-0.3148809523809524
40,GOBP,10,18,-0.011904761904762307
41,ppi,50,49,-0.183205524634096
42,reactome_copathway,28,18,-0.1287955465587045
43,MP,15,17,-0.7333333333333338
44,HP,25,14,-0.04604395604395606
45,GI_net,19,17,-0.7058823529411766
46,gene_gene_on_CbG_name_mapped,12,12,-0.16666666666666674
47,gene_gene_on_GcG_name_mapped,31,28,-0.10125556510192912
48,GOMF,4,4,
