,Layer,Renal_tubular_acidosis nodes,Systemic_mast_cell_disease nodes,sAB
0,coex_KDN,42,43,0.45159041481540774
1,coex_BST,30,22,0.10655108438359684
2,coex_OVR,26,27,-0.05343224211148723
3,coex_LNG,34,35,0.5683904330963157
4,coex_ITI,31,35,0.010291858678955323
5,coex_VGN,29,31,0.25368077794266997
6,coex_HRV,15,23,0.44302536231884027
7,coex_MSG,36,37,0.19218705006376258
8,coex_ADV,29,27,0.16877984084880637
9,coex_EMS,29,31,0.2530774935113089
10,coex_SMU,28,25,0.018450134770889637
11,coex_ARG,28,26,0.18177655677655657
12,coex_TST,33,35,0.1050038197097023
13,coex_PIT,35,30,0.1333333333333333
14,coex_LVR,31,31,0.31235677771901993
15,coex_THY,27,26,0.26742081447963795
16,coex_PNC,29,23,0.2389862760927226
17,coex_ATC,29,33,0.207199032062916
18,coex_BRO,25,33,0.07142857142857162
19,coex_SKN,31,35,0.5699142156862744
20,coex_ADS,20,28,0.7685045948203841
21,coex_GEJ,34,29,0.36506092322112016
22,coex_BRB,15,21,0.4031746031746031
23,coex_UTR,25,25,0.16869565217391314
24,coex_STM,32,29,0.13239294799321644
25,coex_HRA,33,23,0.11069023569023573
26,coex_PRS,29,28,0.23341999635103106
27,coex_ATA,27,27,-0.0007407407407407085
28,coex_FIB,28,24,-0.045259408111070654
29,coex_BRC,33,28,-0.035111187006679145
30,coex_ATT,29,29,0.03707544723878664
31,coex_TNV,11,20,0.3530701754385963
32,coex_SPL,35,29,0.3963516009852217
33,coex_LCL,25,22,0.06321914800175676
34,coex_CLS,30,29,0.11822660098522175
35,coex_EMC,29,31,0.12501010590993644
36,coex_CLT,29,32,0.3224040522111824
37,coex_core,38,38,0.3994810027418725
38,coex_WBL,32,34,0.3779244652406417
39,co-essential,17,10,-0.22538126361655753
40,GOBP,32,12,1.4507211538461537
41,ppi,49,49,0.2755102040816324
42,reactome_copathway,15,22,0.40803571428571406
43,MP,19,11,2.230769230769231
44,HP,41,26,0.574710873400353
45,GI_net,17,22,-0.09930755518990786
46,gene_gene_on_CbG_name_mapped,17,18,0.3392623716153129
47,gene_gene_on_GcG_name_mapped,34,23,-0.08771929824561409
48,GOMF,6,5,
