,Layer,Seasonal_allergy nodes,Neoplasm_of_stomach nodes,sAB
0,coex_KDN,30,24,0.04166666666666652
1,coex_BST,23,19,0.04407758526751637
2,coex_OVR,23,18,-0.004683633792859965
3,coex_LNG,23,28,0.2458943173228887
4,coex_ITI,24,21,-0.19226190476190474
5,coex_VGN,24,21,-0.011742424242424221
6,coex_HRV,23,12,-0.29545454545454586
7,coex_MSG,31,24,0.0058651026392961825
8,coex_ADV,19,17,-0.30826330532212864
9,coex_EMS,19,18,0.007282913165266081
10,coex_SMU,17,14,0.28184523809523787
11,coex_ARG,16,13,0.22307692307692317
12,coex_TST,25,27,-0.19669515669515691
13,coex_PIT,23,22,0.17788757136583233
14,coex_LVR,25,21,-0.08372670807453408
15,coex_THY,18,23,-0.19292929292929317
16,coex_PNC,17,21,-0.07645592020592051
17,coex_ATC,24,19,-0.22474294595887123
18,coex_BRO,23,20,-0.023306370070778737
19,coex_SKN,26,22,-0.20344294003868502
20,coex_ADS,25,19,-0.523514211886305
21,coex_GEJ,23,20,-0.11774891774891794
22,coex_BRB,16,17,0.05291889483065981
23,coex_UTR,14,15,0.033825944170772004
24,coex_STM,24,26,-0.0657051282051282
25,coex_HRA,19,15,-0.19453044375644968
26,coex_PRS,21,17,0.2846085802742149
27,coex_ATA,22,16,-0.4678528708133971
28,coex_FIB,11,19,-0.16079854809437433
29,coex_BRC,21,18,-0.3012820512820513
30,coex_ATT,20,17,-0.30476529160739707
31,coex_TNV,24,10,-0.06348039215686274
32,coex_SPL,25,22,0.0402321083172148
33,coex_LCL,14,17,-0.35399698340874797
34,coex_CLS,21,22,-0.34569113057485157
35,coex_EMC,25,23,-0.2837318840579708
36,coex_CLT,22,18,-0.13787878787878816
37,coex_core,28,21,-0.18114657210401885
38,coex_WBL,24,23,0.08695652173913038
39,co-essential,5,15,-0.8068627450980395
40,GOBP,16,10,-0.20718864468864506
41,ppi,50,50,0.010000000000000009
42,reactome_copathway,15,24,0.2549521571260702
43,MP,12,12,0.625
44,HP,20,28,0.543452380952381
45,GI_net,19,30,0.11424172132458832
46,gene_gene_on_CbG_name_mapped,13,15,-0.19139194139194138
47,gene_gene_on_GcG_name_mapped,34,33,-0.058118498417006004
48,GOMF,7,3,
