,Layer,Sepsis nodes,Sinusitis nodes,sAB
0,coex_KDN,39,39,-0.16608391608391626
1,coex_BST,22,21,-0.017391523205476656
2,coex_OVR,30,26,-0.1403030303030306
3,coex_LNG,34,41,-0.03512714488324287
4,coex_ITI,34,34,-0.07764652672466532
5,coex_VGN,26,27,-0.23076923076923084
6,coex_HRV,24,21,-0.375378787878788
7,coex_MSG,36,35,-0.02809076682316136
8,coex_ADV,32,23,-0.027672558922559265
9,coex_EMS,28,19,-0.5108582626779714
10,coex_SMU,29,26,-0.20727969348658992
11,coex_ARG,27,19,-0.2695143656242056
12,coex_TST,32,36,0.24387254901960764
13,coex_PIT,33,31,0.04617240957966762
14,coex_LVR,35,26,-0.20395371263259388
15,coex_THY,30,33,0.15714430174941896
16,coex_PNC,29,25,0.013001277139208067
17,coex_ATC,31,33,-0.15007215007215025
18,coex_BRO,33,32,0.06347610722610719
19,coex_SKN,30,27,-0.04780219780219763
20,coex_ADS,26,30,-0.03390402700747552
21,coex_GEJ,27,29,-0.3572568874293012
22,coex_BRB,30,28,-0.16510721247563365
23,coex_UTR,24,18,-0.15793385358602707
24,coex_STM,35,33,0.25143875732111054
25,coex_HRA,28,19,0.08807798481711515
26,coex_PRS,32,26,-0.22836538461538458
27,coex_ATA,31,25,-0.17314814814814827
28,coex_FIB,23,19,-0.022011550615669728
29,coex_BRC,29,22,-0.14725858995635877
30,coex_ATT,29,29,-0.12388730446806706
31,coex_TNV,19,19,-0.5645658263305324
32,coex_SPL,38,32,-0.15601503759398483
33,coex_LCL,22,23,-0.3028289539917448
34,coex_CLS,28,28,-0.0036676286676287084
35,coex_EMC,28,33,-0.03300865800865793
36,coex_CLT,31,31,-0.1721171672228401
37,coex_core,36,35,-0.08444556226246358
38,coex_WBL,32,35,-0.027631929637526698
39,co-essential,11,5,-0.4170454545454545
40,GOBP,11,18,1.1729166666666662
41,ppi,50,48,0.10166666666666657
42,reactome_copathway,30,18,0.3467193486590039
43,MP,8,13,0.3524797570850202
44,HP,28,44,0.08351370851370854
45,GI_net,24,23,-0.1304347826086958
46,gene_gene_on_CbG_name_mapped,18,8,-0.11752136752136755
47,gene_gene_on_GcG_name_mapped,33,24,-0.01166267942583743
48,GOMF,7,4,
