,Layer,Small_cell_lung_carcinoma nodes,Medulloblastoma nodes,sAB
0,coex_KDN,34,41,0.19574119574119564
1,coex_BST,27,34,0.18959605700203563
2,coex_OVR,27,37,-0.0958614864864864
3,coex_LNG,34,41,0.009182209469153602
4,coex_ITI,35,41,0.1858885017421601
5,coex_VGN,34,37,-0.009533352739649281
6,coex_HRV,17,15,0.4398190045248871
7,coex_MSG,40,41,-0.03575730201746441
8,coex_ADV,21,32,-0.02528654141557407
9,coex_EMS,29,38,0.07353611300979712
10,coex_SMU,25,36,0.016958105646629917
11,coex_ARG,28,36,0.02678571428571419
12,coex_TST,39,45,0.05934065934065935
13,coex_PIT,40,39,-0.112122687439143
14,coex_LVR,26,33,-0.13530678361186843
15,coex_THY,24,30,-0.08578069455838078
16,coex_PNC,26,34,0.022775263951734903
17,coex_ATC,31,36,-0.09595959595959602
18,coex_BRO,44,37,0.20679770679770693
19,coex_SKN,32,40,-0.12326388888888884
20,coex_ADS,22,28,-0.17191142191142195
21,coex_GEJ,31,34,-0.0077200577200575715
22,coex_BRB,29,20,0.07267090139140953
23,coex_UTR,23,30,0.12380952380952381
24,coex_STM,33,40,0.08125000000000004
25,coex_HRA,31,35,-0.03223443223443234
26,coex_PRS,30,35,-0.013553113553113505
27,coex_ATA,22,36,0.30779220779220795
28,coex_FIB,26,34,-0.06546003016591251
29,coex_BRC,41,36,-0.048903670854890446
30,coex_ATT,24,36,0.11571685908458207
31,coex_TNV,11,17,-0.016666666666666163
32,coex_SPL,28,39,-0.09340723284163976
33,coex_LCL,13,29,-0.03214285714285725
34,coex_CLS,35,38,0.07170666392007408
35,coex_EMC,34,37,0.05740025740025745
36,coex_CLT,35,42,0.19471850357601328
37,coex_core,33,43,0.11999740365713452
38,coex_WBL,20,37,0.001446183025130443
39,co-essential,10,22,0.03132832080200476
40,GOBP,10,7,-1.5730519480519485
41,ppi,49,50,-0.011819727891156484
42,reactome_copathway,20,22,0.22917588087866725
43,MP,13,13,0.8044871794871797
44,HP,22,27,-0.16652923795780938
45,GI_net,22,31,0.1894861392832996
46,gene_gene_on_CbG_name_mapped,12,7,0.09680451127819545
47,gene_gene_on_GcG_name_mapped,34,33,-0.05938888445473167
48,GOMF,1,0,
