,Layer,Wilson_disease nodes,Huntington_disease nodes,sAB
0,coex_KDN,46,35,-0.1403803389310636
1,coex_BST,30,24,0.1777777777777778
2,coex_OVR,32,23,0.09176920973475511
3,coex_LNG,37,30,0.07066693559230863
4,coex_ITI,41,38,0.019941989892916734
5,coex_VGN,33,30,-0.019480519480519654
6,coex_HRV,19,18,-0.018489852081183145
7,coex_MSG,40,30,0.008928571428571397
8,coex_ADV,34,21,0.1468933027756556
9,coex_EMS,35,29,0.044381157635467794
10,coex_SMU,33,24,-0.045853269537480035
11,coex_ARG,31,27,0.004614180365014597
12,coex_TST,36,31,0.0544856363344568
13,coex_PIT,36,32,0.045955882352941124
14,coex_LVR,39,25,-0.08952320316921347
15,coex_THY,34,28,0.1895622895622897
16,coex_PNC,36,25,0.37324225865209515
17,coex_ATC,33,26,-0.09562500000000007
18,coex_BRO,34,33,0.3299279006039324
19,coex_SKN,34,31,0.023522113560064284
20,coex_ADS,26,25,0.2426455532045595
21,coex_GEJ,34,28,-0.04915987966835367
22,coex_BRB,27,22,0.10325059101654865
23,coex_UTR,25,20,0.2527272727272729
24,coex_STM,39,32,0.1922456211628747
25,coex_HRA,34,25,0.010395537525354825
26,coex_PRS,34,23,0.21666666666666679
27,coex_ATA,33,24,0.1530303030303033
28,coex_FIB,32,24,0.11755952380952395
29,coex_BRC,32,30,0.08518145161290303
30,coex_ATT,34,27,0.07727272727272716
31,coex_TNV,17,20,0.3058823529411767
32,coex_SPL,36,26,0.10166804521643202
33,coex_LCL,21,19,0.009276018099547922
34,coex_CLS,39,31,0.26672240802675606
35,coex_EMC,37,27,0.08530405405405395
36,coex_CLT,38,34,0.10880113215176213
37,coex_core,40,32,0.15406622426868877
38,coex_WBL,31,27,-0.009104766613109216
39,co-essential,15,7,-0.1690476190476189
40,GOBP,15,7,0.1904761904761907
41,ppi,48,48,2.220446049250313e-16
42,reactome_copathway,30,15,-0.07893607893607912
43,MP,11,11,0.185672514619883
44,HP,31,29,0.19542083796811283
45,GI_net,30,16,0.007475083056478038
46,gene_gene_on_CbG_name_mapped,19,19,0.1578947368421053
47,gene_gene_on_GcG_name_mapped,28,37,-0.11409266409266405
48,GOMF,7,4,
