Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cytokine-cytokine receptor interaction	10/295	9.689931765541306E-12	1.172481743630498E-9	0	0	34.53508771929825	875.8075359829744	CXCL10;CXCL9;TGFB1;TNFSF15;CXCR5;IL12B;IL12A;IL7R;IL12RB1;TNFRSF1A
Toll-like receptor signaling pathway	7/104	1.545411961576285E-10	9.349742367536524E-9	0	0	62.35365307037203	1408.6039666784584	CXCL10;CXCL9;CD80;IL12B;IRF5;IL12A;NFKB1
Toxoplasmosis	7/112	2.6143292311066597E-10	1.0544461232130194E-8	0	0	57.57971014492754	1270.4872858398405	TGFB1;NOS2;IL12B;IL12A;TYK2;NFKB1;TNFRSF1A
Inflammatory bowel disease	6/65	5.194995818965501E-10	1.571486235237064E-8	0	0	84.36864406779661	1803.6459593193324	TGFB1;STAT4;IL12B;IL12A;IL12RB1;NFKB1
Pathways in cancer	10/531	2.9807925250345286E-9	7.213517910583559E-8	0	0	18.66506717850288	366.4153639693561	TGFB1;NOS2;STAT4;IL12B;IL12A;IL7R;IL12RB1;HIF1A;NFKB1;NFE2L2
Th1 and Th2 cell differentiation	6/92	4.361842183804087E-9	8.796381737338242E-8	0	0	57.80232558139535	1112.7162323123707	STAT4;IL12B;IL12A;TYK2;IL12RB1;NFKB1
Chagas disease	6/102	8.152411672329653E-9	1.4092025890741258E-7	0	0	51.755208333333336	963.9382731709351	TGFB1;NOS2;IL12B;IL12A;NFKB1;TNFRSF1A
Leishmaniasis	5/77	9.798371169326721E-8	1.4820036393606666E-6	0	0	55.272222222222226	892.0088005526063	TGFB1;NOS2;IL12B;IL12A;NFKB1
JAK-STAT signaling pathway	6/162	1.3009718145048995E-7	1.7490843283899204E-6	0	0	31.753205128205128	503.4465629444726	STAT4;IL12B;IL12A;TYK2;IL7R;IL12RB1
Influenza A	6/172	1.8546202264175284E-7	2.244090473965209E-6	0	0	29.825301204819276	462.30456721802835	CXCL10;IL12B;IL12A;TYK2;NFKB1;TNFRSF1A
Tuberculosis	6/180	2.425774796033675E-7	2.668352275637043E-6	0	0	28.442528735632184	433.23502409208606	TGFB1;NOS2;IL12B;IL12A;NFKB1;TNFRSF1A
Amoebiasis	5/102	4.0243425709085886E-7	4.057878758999494E-6	0	0	40.97525773195876	603.3907496238485	TGFB1;NOS2;IL12B;IL12A;NFKB1
Th17 cell differentiation	5/107	5.109713367799578E-7	4.7559639807980694E-6	0	0	38.956862745098036	564.3662139323254	TGFB1;TYK2;IL12RB1;HIF1A;NFKB1
Coronavirus disease	6/232	1.074150937970815E-6	9.283733106747758E-6	0	0	21.84070796460177	300.1782541852689	CXCL10;IL12B;IL12A;TYK2;NFKB1;TNFRSF1A
RIG-I-like receptor signaling pathway	4/70	3.519721717082364E-6	2.839242185113107E-5	0	0	46.396270396270396	582.6039352777034	CXCL10;IL12B;IL12A;NFKB1
Pertussis	4/76	4.894372873939752E-6	3.7013694859169376E-5	0	0	42.51709401709402	519.874553049576	NOS2;IL12B;IL12A;NFKB1
Viral protein interaction with cytokine and cytokine receptor	4/100	1.4590163823584494E-5	1.0384763662668962E-4	0	0	31.849358974358974	354.6478025742392	CXCL10;CXCL9;CXCR5;TNFRSF1A
Lipid and atherosclerosis	5/215	1.5686484655908656E-5	1.0544803574249708E-4	0	0	18.81904761904762	208.18968635239386	IL12B;IL12A;NFKB1;TNFRSF1A;NFE2L2
Allograft rejection	3/38	2.47954657947373E-5	1.5790796637701123E-4	0	0	63.285714285714285	671.1354914711817	CD80;IL12B;IL12A
Type I diabetes mellitus	3/43	3.609024832058106E-5	2.1542838650966302E-4	0	0	55.361111111111114	566.3158139575121	CD80;IL12B;IL12A
Osteoclast differentiation	4/127	3.738839765870185E-5	2.1542838650966302E-4	0	0	24.82426516572858	253.06228583485418	TGFB1;TYK2;NFKB1;TNFRSF1A
Measles	4/139	5.320637647806756E-5	2.9263507062937157E-4	0	0	22.603988603988604	222.45336338757366	IL12B;IL12A;TYK2;NFKB1
Legionellosis	3/57	8.43655478823948E-5	4.3065593061325725E-4	0	0	40.97942386831276	384.4013976994155	IL12B;IL12A;NFKB1
Hepatitis C	4/157	8.541935813816672E-5	4.3065593061325725E-4	0	0	19.926596279537456	186.6711146472406	CXCL10;TYK2;NFKB1;TNFRSF1A
Hepatitis B	4/162	9.644487591248115E-5	4.6679319941640875E-4	0	0	19.29113924050633	178.37627031747488	TGFB1;STAT4;TYK2;NFKB1
Chemokine signaling pathway	4/192	1.8553291808050555E-4	8.481768908408482E-4	0	0	16.18821603927987	139.0936563491243	CXCL10;CXCL9;CXCR5;NFKB1
Kaposi sarcoma-associated herpesvirus infection	4/193	1.892626120058091E-4	8.481768908408482E-4	0	0	16.101750101750103	138.0302404443753	TYK2;HIF1A;NFKB1;TNFRSF1A
Bile secretion	3/90	3.276182586685581E-4	0.001415778903531983	0	0	25.393358876117496	203.7477152817502	ABCC2;ABCB4;SLC4A2
C-type lectin receptor signaling pathway	3/104	5.007043838450327E-4	0.002089145877422378	0	0	21.858085808580856	166.1104068879881	IL12B;IL12A;NFKB1
HIF-1 signaling pathway	3/109	5.743168995676725E-4	0.0023164114949229455	0	0	20.82180293501048	155.3791485414435	NOS2;HIF1A;NFKB1
TNF signaling pathway	3/112	6.216351196870161E-4	0.0024263822413589983	0	0	20.245667686034658	149.47694839317748	CXCL10;NFKB1;TNFRSF1A
Herpes simplex virus 1 infection	5/498	7.988365498237439E-4	0.0030206007040210316	0	0	7.901419878296146	56.3557252672223	IL12B;IL12A;TYK2;NFKB1;TNFRSF1A
Relaxin signaling pathway	3/129	9.37026120780873E-4	0.003435762442863201	0	0	17.499118165784832	122.01784063082127	TGFB1;NOS2;NFKB1
Fluid shear stress and atherosclerosis	3/139	0.001162465384462142	0.004137009162350564	0	0	16.204248366013072	109.49554471424038	NFKB1;TNFRSF1A;NFE2L2
African trypanosomiasis	2/37	0.0014020717242409484	0.004847162246661565	0	0	40.683673469387756	267.2837742480994	IL12B;IL12A
Non-alcoholic fatty liver disease	3/155	0.0015896437267174021	0.005342969192577935	0	0	14.486842105263158	93.3567650049236	TGFB1;NFKB1;TNFRSF1A
Necroptosis	3/159	0.001709849718117101	0.0055916706997883574	0	0	14.112535612535613	89.91590090262773	STAT4;TYK2;TNFRSF1A
ABC transporters	2/45	0.002068700520484921	0.0065871779731230375	0	0	33.10132890365448	204.59384020901297	ABCC2;ABCB4
Intestinal immune network for IgA production	2/48	0.002350495478973478	0.007292562896302329	0	0	30.937888198757765	187.27103230547277	TGFB1;CD80
Malaria	2/50	0.002547877166796628	0.0077073284295598	0	0	29.645833333333332	177.0595839464994	TGFB1;IL12A
Epstein-Barr virus infection	3/202	0.0033710306786318804	0.00994865151498677	0	0	11.039084310441094	62.84039303544849	CXCL10;TYK2;NFKB1
Proteoglycans in cancer	3/205	0.003513608535328855	0.010122538875590273	0	0	10.873487348734873	61.44729154215966	TGFB1;IL12B;HIF1A
Cytosolic DNA-sensing pathway	2/63	0.004013249341598154	0.011293096984497132	0	0	23.31264637002342	128.64277412661008	CXCL10;NFKB1
Human T-cell leukemia virus 1 infection	3/219	0.00422778405020718	0.011626406138069744	0	0	10.161522633744855	55.54366808375858	TGFB1;NFKB1;TNFRSF1A
Adipocytokine signaling pathway	2/69	0.004794036255489164	0.012610399715525846	0	0	21.218550106609808	113.31517536894962	NFKB1;TNFRSF1A
Renal cell carcinoma	2/69	0.004794036255489164	0.012610399715525846	0	0	21.218550106609808	113.31517536894962	TGFB1;HIF1A
Chronic myeloid leukemia	2/76	0.005786228730415143	0.014586118257921507	0	0	19.204633204633204	98.94754273926414	TGFB1;NFKB1
Pancreatic cancer	2/76	0.005786228730415143	0.014586118257921507	0	0	19.204633204633204	98.94754273926414	TGFB1;NFKB1
PD-L1 expression and PD-1 checkpoint pathway in cancer	2/89	0.007855172466354438	0.019397466702630345	0	0	16.324302134646963	79.11708604949641	HIF1A;NFKB1
Small cell lung cancer	2/92	0.008373448487098152	0.020263745338777527	0	0	15.777777777777779	75.46021169623046	NOS2;NFKB1
Rheumatoid arthritis	2/93	0.008549551592924202	0.02028423024987899	0	0	15.603610675039246	74.30246609423192	TGFB1;CD80
IL-17 signaling pathway	2/94	0.008727318488466829	0.020307798790470892	0	0	15.433229813664596	73.17352801930804	CXCL10;NFKB1
MAPK signaling pathway	3/294	0.009519387880313554	0.021732942141847927	0	0	7.5139366170294	34.97305241395518	TGFB1;NFKB1;TNFRSF1A
AGE-RAGE signaling pathway in diabetic complications	2/100	0.009828577820710147	0.02202329474640607	0	0	14.48396501457726	66.95156387938638	TGFB1;NFKB1
