Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Gastric cancer	14/149	6.477179682861771E-19	1.1140749054522245E-16	0	0	57.08024691358025	2390.5682078401783	TCF7L2;CDKN1A;CDX2;AXIN2;MLH1;EGFR;TGFBR2;RXRA;APC;MYC;ERBB2;BCL2;KRAS;TP53
Pathways in cancer	19/531	1.1758812574794751E-17	1.0112578814323487E-15	0	0	23.268775201612904	907.0617360329479	TCF7L2;CDKN1A;AXIN2;MLH1;PTGS2;MMP9;EGFR;TGFBR2;VEGFA;RXRA;CCND2;APC;IFNG;MYC;ERBB2;BCL2;PPARG;KRAS;TP53
Colorectal cancer	11/86	1.560391356572486E-16	7.495818141261144E-15	0	0	74.74358974358974	2720.3994455154093	TCF7L2;CDKN1A;APC;MYC;BCL2;KRAS;AXIN2;MLH1;TP53;EGFR;TGFBR2
Endometrial cancer	10/58	1.7432135212235219E-16	7.495818141261144E-15	0	0	103.65625	3761.232461846079	TCF7L2;CDKN1A;APC;MYC;ERBB2;KRAS;AXIN2;MLH1;TP53;EGFR
Bladder cancer	9/41	5.870971892905282E-16	2.0196143311594168E-14	0	0	136.6326219512195	4791.889316930085	CDKN1A;MYC;ERBB2;KRAS;MMP9;TP53;EGFR;VEGFA;HBEGF
MicroRNAs in cancer	14/310	1.957063553613197E-14	5.610248853691165E-13	0	0	25.821696696696698	815.0553011097569	DNMT1;CDKN1A;PTGS2;MMP9;EGFR;VEGFA;CCND2;APC;MYC;ERBB2;DNMT3B;BCL2;KRAS;TP53
Thyroid cancer	7/37	3.829389820900757E-12	9.40935784564186E-11	0	0	108.09302325581395	2841.5835139517394	TCF7L2;CDKN1A;RXRA;MYC;KRAS;PPARG;TP53
Lipid and atherosclerosis	11/215	4.433956899981621E-12	9.533007334960485E-11	0	0	27.300904977375566	713.6928518690659	RXRA;BCL2;TNFSF10;TNFRSF10B;TNFRSF10A;PPARG;KRAS;MMP9;TP53;TNF;CXCL2
p53 signaling pathway	8/73	1.0076230064345789E-11	1.9256795234083064E-10	0	0	58.27106227106227	1475.4723565554157	CDKN1A;CCND2;RRM2;CHEK2;BCL2;TNFRSF10B;TNFRSF10A;TP53
Proteoglycans in cancer	10/205	7.383764510830356E-11	1.2700074958628213E-9	0	0	25.326923076923077	590.8556487419828	CDKN1A;MYC;ERBB2;KRAS;MMP9;TP53;TNF;EGFR;VEGFA;HBEGF
Breast cancer	9/147	9.478531175529028E-11	1.4820976019918118E-9	0	0	31.514316012725345	727.3317148052147	TCF7L2;CDKN1A;APC;MYC;ERBB2;KRAS;AXIN2;TP53;EGFR
Prostate cancer	8/97	1.0357804580832912E-10	1.4846186565860509E-9	0	0	42.50615302300695	977.2460304480153	TCF7L2;CDKN1A;ERBB2;BCL2;KRAS;MMP9;TP53;EGFR
Hepatocellular carcinoma	9/168	3.1301093780529197E-10	4.141375484808478E-9	0	0	27.32305568338702	597.9591440069039	TCF7L2;CDKN1A;APC;MYC;KRAS;AXIN2;TP53;EGFR;TGFBR2
