multiplex	node	score
1	Allergic_reaction	0.24314386552769776
1	Asthma,_diminished_response_to_antileukotriene_treatment_in	0.0008762821818474371
1	Asthma,_protection_against	0.0008762821818474371
1	Asthma	0.0008308213614284634
1	Inherited_susceptibility_to_asthma	0.0008263637347334144
1	Anaphylaxis	0.0008003206729492186
1	Reactive_airway_disease	0.0006489899753509822
1	Celiac_disease	0.0005864659023367314
1	Eczematoid_dermatitis	0.000397095807455648
1	Ichthyosis	0.0002893314431872605
1	Allergy_to_food	0.00024172002897497878
1	Conjunctivitis	0.00021664910791390353
1	Pruritus	0.00021548547459832105
1	Urticaria	0.00018554387107269193
1	Drug_allergy	0.0001845425461119963
1	Dermatographic_urticaria	0.00018305955205812278
1	Nasal_congestion	0.00016971455490704556
1	Parkinson_disease	0.00016547981236937615
1	Cough	0.0001621654416202617
1	Glioblastoma	0.00016053169521697164
1	Allergy	0.00015780524168788575
1	Exanthem	0.00015285653081681082
1	Palmoplantar_keratosis	0.00015168127894207747
1	Allergic_rhinitis	0.00014933375755919818
1	Dyskinesia	0.00014008973819291
1	Metastasis	0.00013672553130687954
1	Seasonal_allergy	0.00012456145330535964
1	Disorder_of_lung	8.390280105497428e-05
1	Inflammatory_bowel_disease	7.444827842636955e-05
1	Respiratory_insufficiency	6.3521533952998e-05
1	Lung_Diseases,_Obstructive	5.496062238850448e-05
1	Abnormality_of_the_lung	5.496062238850448e-05
1	Nausea_and_vomiting	3.9704791951807204e-05
1	Keratitis	3.372581226104628e-05
1	Neoplasm_of_the_large_intestine	3.025468040866656e-05
1	Contact_dermatitis	2.7151542677331483e-05
1	Ulcerative_colitis	2.6945606357740314e-05
1	Schizophrenia	2.523504725043336e-05
1	Autoimmune_disease	2.5186492366637708e-05
1	Ichthyosis_vulgaris	2.499540590726057e-05
1	Fever	2.3705687144304565e-05
1	Crohn_disease	2.3584505170904887e-05
1	Uveitis	2.3255730302918952e-05
1	Pituitary_adenoma	2.232783652872738e-05
1	Dystonic_disorder	2.1819061155243957e-05
1	Allergic_contact_dermatitis	2.1599391360873455e-05
1	Postoperative_complication	2.1163603043990385e-05
1	Nephrotic_syndrome	2.072032352973996e-05
1	Angioedema	2.043989663324686e-05
1	Thyroiditis	2.0177159493753975e-05
1	Skin_disorder	1.91117046506669e-05
1	Enterocolitis	1.908535427410976e-05
1	Vomiting	1.8906170024414027e-05
1	B_cell_chronic_lymphocytic_leukemia	1.8706803474430574e-05
1	Narcolepsy	1.8584944055771203e-05
1	Hyperkeratosis	1.8520009346569456e-05
1	Psychotic_disorder	1.8268409861303258e-05
1	Headache	1.758503816554665e-05
1	Atopic_eczema	1.7528401908757515e-05
1	Follicular_lymphoma	1.7166346006309966e-05
1	Fatigue	1.7044761743016305e-05
1	Blepharitis	1.6935138451522314e-05
1	Anemia	1.691623785450651e-05
1	Major_depressive_disorder	1.627170048860691e-05
1	Erythroderma	1.6068734513924292e-05
1	Sinusitis	1.573079259130863e-05
1	Facial_paralysis	1.559162189508665e-05
1	Gingival_disorder	1.551538430744546e-05
1	Seizure	1.5504148777656298e-05
1	Mycosis_fungoides	1.4994001718065937e-05
1	Nail_dystrophy	1.4898529251865365e-05
1	Nausea	1.4882380854868758e-05
1	Lymphoma	1.4760594410776823e-05
1	Corneal_ulceration	1.4744228533234698e-05
1	Dizziness	1.4482184870437768e-05
1	Graft_versus_host_disease	1.445250940500367e-05
1	Seborrheic_dermatitis	1.441170665832578e-05
1	Hypothyroidism	1.4150884580070317e-05
1	Gastroesophageal_reflux_disease	1.411931541719147e-05
1	Purpura	1.4104302919606551e-05
1	Anxiety	1.3612064118752145e-05
1	Hyperemia	1.3509947898982287e-05
1	Chronic_discoid_lupus_erythematosus	1.3408691658038199e-05
1	Renal_tubular_acidosis	1.3297086039671446e-05
1	Rhinitis	1.3200205945553021e-05
1	Acromegaly	1.3076058906987986e-05
1	Adrenal_insufficiency	1.2953018949363711e-05
1	Hypersensitivity_pneumonitis	1.2902624487682389e-05
1	Mastocytosis	1.2834773051414259e-05
1	Spasticity	1.2756560942718954e-05
1	Hypogonadism	1.2351273526646746e-05
1	Adult_acute_respiratory_distress_syndrome	1.2147368521965725e-05
1	Acne	1.1921881218493155e-05
1	Dermatitis	1.1888589769722605e-05
1	Secondary_Parkinson_disease	1.1728329832268135e-05
1	Depression	1.1706599191141117e-05
1	Hemorrhage	1.1553684960235657e-05
1	Bronchiectasis	1.1537724864516775e-05
1	Acute_intermittent_porphyria	1.1446340635739488e-05
1	Heartburn	1.1418742009367073e-05
1	Multiple_sclerosis	1.134330128755627e-05
1	Arthralgia	1.1305679057920965e-05
1	Insomnia	1.1226909562517828e-05
1	Apnea	1.1020801143175853e-05
1	Familial_amyloid_polyneuropathy	1.0981031559641895e-05
1	Ankylosing_spondylitis	1.0887267453994494e-05
1	Neoplasm_of_esophagus	1.0801590990573679e-05
1	Neoplasm_of_stomach	1.0626583702955536e-05
1	Vertigo	1.0577821047829479e-05
1	Scleroderma	1.0517066904292271e-05
1	Dry_eye_syndrome	1.0494430971814647e-05
1	Premature_ventricular_contraction	1.0434493624108503e-05
1	Keloid	1.0410086001960943e-05
1	Attention_deficit_hyperactivity_disorder	1.0358689877552504e-05
1	Primary_cutaneous_T_cell_lymphoma	1.0324150708452928e-05
1	Malignant_lymphoma_large_B_cell_diffuse	1.02791258561341e-05
1	Dysmenorrhea	1.0196002231300079e-05
1	Epilepsy	1.0135879924517443e-05
1	Sleep_disorder_initiating_and_maintaining_sleep	1.0090594095951145e-05
1	Systemic_lupus_erythematosus	9.888681850673497e-06
1	Cardiac_arrhythmia	9.782163095939871e-06
1	Obesity	9.722988841142965e-06
1	Pachyonychia_congenita_1	9.717938637792585e-06
1	Pulmonary_fibrosis	9.693759439881507e-06
1	Classic_Hodgkin_lymphoma	9.684466925013074e-06
1	Hypotension	9.63796786346932e-06
1	Pneumonia	9.614523144408818e-06
1	Drug_induced_dyskinesia	9.516904162524948e-06
1	Extrapyramidal_disease	9.48566085842301e-06
1	Episcleritis	9.47231130064531e-06
1	Aphthous_stomatitis	9.439719568031086e-06
1	Alopecia_areata	9.409246148457712e-06
1	Pulmonary_arterial_hypertension	9.379554091109566e-06
