multiplex	node	score
1	Ascites	0.23745896129445812
1	Cirrhosis_of_liver	0.002243777812002244
1	Hyperaldosteronism	0.0007263080494724991
1	Pulmonary_edema	0.0007048864599500117
1	Congestive_heart_failure	0.0006322092373455889
1	Hypertensive_disorder	0.0006077291455045308
1	Hypokalemia	0.0005627940121686167
1	Stroke_disorder	0.00040302489057611647
1	Edema	0.0003253631286303522
1	Nephrotic_syndrome	0.00024472093812300146
1	Mucopolysaccharidosis_type_7	0.00013502207782440208
1	Polycystic_liver_disease_1	0.00013150154859741594
1	Neoplasm_of_lung	0.00013101559766371524
1	Breast_neoplasm	9.575511729421916e-05
1	Constipation	8.320478847123122e-05
1	Paroxysmal_supraventricular_tachycardia	7.993651947616182e-05
1	Testicular_neoplasm	7.619354721915181e-05
1	Emphysema	6.765474220396836e-05
1	Liver_failure	6.342461115976515e-05
1	Cardiomyopathy	6.219939673447149e-05
1	Uveitis	5.99891234886183e-05
1	Bronchiectasis	5.952350723727279e-05
1	Ovarian_dysgenesis_1	5.843400677221935e-05
1	Thrombotic_disease	5.7496525980513884e-05
1	Acetabular_dysplasia	5.578704103704449e-05
1	Pleural_effusion	5.429677171459789e-05
1	Diabetes_mellitus	5.387879663971027e-05
1	Myeloproliferative_disorder	5.2327235864779506e-05
1	Ulcerative_colitis	5.1605118345566404e-05
1	Ventricular_preexcitation	5.1087158944845235e-05
1	Tyrosinemia_type_I	5.0441921011891583e-05
1	Glycogen_storage_disease_due_to_glycogen_branching_enzyme_deficiency_non_progressive_hepatic_form	4.8110483604852214e-05
1	Glycogen_storage_disease_due_to_glycogen_branching_enzyme_deficiency_congenital_neuromuscular_form	4.8103788397699694e-05
1	Glycogen_storage_disease_due_to_glycogen_branching_enzyme_deficiency_adult_neuromuscular_form	4.804206897141176e-05
1	Glycogen_storage_disease_due_to_glycogen_branching_enzyme_deficiency_childhood_neuromuscular_form	4.8035813876777337e-05
1	Glycogen_storage_disease_due_to_glycogen_branching_enzyme_deficiency_fatal_perinatal_neuromuscular_form	4.8035813876777337e-05
1	Hypertrophic_cardiomyopathy_6	4.712383294323158e-05
1	Leukemia	4.663401221718916e-05
1	Glycogen_storage_disease_IV_classic_hepatic	4.626233910586694e-05
1	Glycogen_storage_disease_type_IV	4.626233910586694e-05
1	Hypertrophic_cardiomyopathy	4.60011833675529e-05
1	Pre_Excitation_Syndrome	4.531395577415423e-05
1	Hypotension	4.5002223321720065e-05
1	Laryngeal_edema	4.329521305171062e-05
1	Metabolic_alkalosis	4.270085155111817e-05
1	Fanconi_anemia_complementation_group_Q	4.251035718796438e-05
1	Kidney_failure	4.143232885833601e-05
1	Xeroderma_pigmentosum_group_F	4.142020434019751e-05
1	Tyrosinemia	4.1168530075722536e-05
1	Salla_disease	4.056712747820111e-05
1	Acute_myeloid_leukemia	4.0544775587100914e-05
1	Gynecomastia	3.881415702161622e-05
1	Xeroderma_pigmentosum_type_F/Cockayne_syndrome	3.869058134710739e-05
1	Heart_failure	3.71907528250284e-05
1	Congenital_factor_V_deficiency	3.596427372751623e-05
1	Hyperkalemia	3.5710309903656355e-05
1	Paralytic_ileus	3.512631729509398e-05
1	Thromboembolism	3.436587322980898e-05
1	Episcleritis	3.436277750300342e-05
1	Hepatoerythropoietic_porphyria	3.3894928480606e-05
1	Autosomal_dominant_polycystic_kidney_disease	3.388852316347724e-05
1	Cardiac_arrhythmia	3.3089344931143945e-05
1	Sinus_bradycardia	3.30488227664302e-05
1	Thrombocythemia_3	3.277910874421108e-05
1	Peripheral_arterial_occlusive_disease	3.2486751028497896e-05
1	Gaucher_disease_type_3B	3.2141046628833515e-05
1	Nephroblastoma	3.208982776060247e-05
1	Acquired_polycythemia_vera	3.139574833433529e-05
1	Hemochromatosis_type_1	3.0718874105002504e-05
